system:index,B11,B12,B2,B3,B4,B8,EVI,NDVI,NDWI,poly_id,.geo
0,0.2370351648004947,0.1539317296624426,0.06377042992861189,0.07989580983653895,0.09268899056592604,0.2163335047636967,0.2389352398474532,0.40004678076271427,-0.4605601718185361,20000,"{""type"":""Polygon"",""coordinates"":[[[95.4151232,27.3540862],[95.4151306,27.353959800000002],[95.41586880000001,27.3539831],[95.4158614,27.3541095],[95.4151232,27.3540862]]]}"
1,0.18884913787177743,0.09673715539858878,0.04164410863364943,0.05738175687732372,0.04364527951760235,0.27834233001971065,0.47747752481002836,0.7285410468616447,-0.6576708338662585,20001,"{""type"":""Polygon"",""coordinates"":[[[95.4192071,27.3578595],[95.4192147,27.357742000000002],[95.41930290000002,27.357614199999997],[95.4193118,27.3575599],[95.41936110000002,27.3575049],[95.41952219999999,27.357475000000004],[95.4195804,27.357365699999995],[95.4196913,27.3573548],[95.4197222,27.3573813],[95.4197228,27.3574084],[95.4196632,27.357454500000003],[95.41965410000002,27.3574998],[95.4197056,27.357544000000004],[95.4196166,27.3576358],[95.41960979999999,27.3577893],[95.4196322,27.3578882],[95.4196249,27.3580147],[95.41966550000001,27.358023],[95.4196952,27.3579954],[95.41971559999999,27.3580041],[95.4197175,27.358094300000005],[95.4196874,27.358103800000002],[95.41970840000002,27.358139500000004],[95.4196591,27.3581945],[95.41960859999999,27.358195400000003],[95.41958900000002,27.358222799999997],[95.4195081,27.358224199999995],[95.41950750000001,27.358197200000003],[95.419547,27.358151399999997],[95.4195228,27.3579713],[95.4194817,27.357935900000005],[95.41943070000002,27.3579188],[95.4192384,27.357904100000003],[95.4192071,27.3578595]]]}"
2,0.19789583597233298,0.10314181974414247,0.042848543059759624,0.0606361672643473,0.048493622251687914,0.2727773254708495,0.45130441922007564,0.6976511763145987,-0.6358021956644587,20002,"{""type"":""Polygon"",""coordinates"":[[[95.4248433,27.352158100000004],[95.4254817,27.3522372],[95.42566370000002,27.3522431],[95.4256334,27.3522436],[95.42561360000002,27.352262000000003],[95.4256047,27.352316299999995],[95.4257875,27.3523583],[95.42578810000002,27.3523853],[95.42566670000001,27.352378399999996],[95.425555,27.352353300000004],[95.4250794,27.352325400000005],[95.4248764,27.352283899999996],[95.42484570000002,27.3522663],[95.4248433,27.352158100000004]]]}"
3,0.2036117089219985,0.1120021714290445,0.042616997882558974,0.061719313985736796,0.046290993034581375,0.2783619633416995,0.4680525714258056,0.7131365056661052,-0.6347751632218356,20003,"{""type"":""Polygon"",""coordinates"":[[[95.42400280000001,27.360889300000004],[95.42410300000002,27.3608515],[95.42418360000002,27.360841100000005],[95.4245241,27.36116000000001],[95.42456590000002,27.3612225],[95.4245774,27.3612854],[95.4243664,27.3613432],[95.42422520000001,27.3613547],[95.4242145,27.361327799999998],[95.42415310000001,27.361292800000005],[95.4240689,27.3611409],[95.42400280000001,27.360889300000004]]]}"
4,0.17923664526060865,0.08361654030066086,0.039006576157039584,0.05534531628830847,0.0376361262272386,0.29691251876219266,0.5265808294278158,0.77444750703959,-0.6852485990769749,20004,"{""type"":""Polygon"",""coordinates"":[[[95.4244125,27.354646999999996],[95.42442080000001,27.3545657],[95.4246027,27.354562500000004],[95.42461240000002,27.3545443],[95.4245819,27.354535800000004],[95.4245803,27.3544636],[95.42466090000002,27.354453200000002],[95.4244581,27.354420700000006],[95.4244662,27.3543303],[95.4249218,27.3543675],[95.424924,27.3544667],[95.4249346,27.3544936],[95.42493920000001,27.354701000000006],[95.4247064,27.354687],[95.4244125,27.354646999999996]]]}"
5,0.2501675068373944,0.15562407989493257,0.05962891418352246,0.08433679804171323,0.0807837257405603,0.2830588955692713,0.38308564788176713,0.5566795277926062,-0.5410278456912226,20005,"{""type"":""Polygon"",""coordinates"":[[[95.4244476,27.360430400000002],[95.4245577,27.3603834],[95.4245981,27.3603827],[95.4246203,27.3604726],[95.4245906,27.3605001],[95.4246009,27.360509000000008],[95.42468090000001,27.360471499999996],[95.4248118,27.3604512],[95.4248772,27.360666600000002],[95.42487820000001,27.3607117],[95.4248583,27.3607301],[95.4248179,27.360730800000002],[95.4246246,27.360671000000004],[95.4244929,27.360655199999997],[95.4244493,27.3605116],[95.4244476,27.360430400000002]]]}"
6,0.18477368370097028,0.09848493766377625,0.038034597984599634,0.055260885597598924,0.0395265755358347,0.2905875182111944,0.5039974758445895,0.7573196677362524,-0.6778916843853346,20006,"{""type"":""Polygon"",""coordinates"":[[[95.4218114,27.3535372],[95.42184170000002,27.3535367],[95.42186150000002,27.3535183],[95.4218607,27.3534822],[95.4218807,27.3534728],[95.42202230000001,27.353479400000005],[95.4220532,27.353505900000002],[95.42205400000002,27.353541999999997],[95.4221138,27.353504900000004],[95.42223510000001,27.353502799999998],[95.422327,27.3535463],[95.4223672,27.3535366],[95.4224392,27.3535985],[95.42260090000002,27.3535957],[95.4226023,27.353658799999998],[95.42253129999999,27.353651],[95.42247110000001,27.353670099999995],[95.4224004,27.3536713],[95.4223408,27.353717499999995],[95.4221292,27.353748200000002],[95.42200760000001,27.3537323],[95.42194720000002,27.3537424],[95.4219466,27.353715300000005],[95.42189510000001,27.353671099999996],[95.4218947,27.3536531],[95.42183329999999,27.353618],[95.4218114,27.3535372]]]}"
7,0.18107760794253577,0.09258512710187433,0.04054594548319414,0.05838319573481354,0.04172446873003677,0.27434649510200415,0.4762521223057192,0.7361051418728395,-0.6489937787091278,20007,"{""type"":""Polygon"",""coordinates"":[[[95.4213987,27.3577944],[95.4214485,27.357757400000004],[95.4214774,27.3576938],[95.4215955,27.3575473],[95.421687,27.3575728],[95.4218084,27.3575797],[95.42194150000002,27.357658600000004],[95.4219819,27.3576579],[95.4220017,27.3576396],[95.4220009,27.357603499999996],[95.42205070000001,27.3575665],[95.4220501,27.357539500000005],[95.4220192,27.3575129],[95.42201879999999,27.3574949],[95.4220994,27.357484500000005],[95.42216870000001,27.3574201],[95.42221939999999,27.3574282],[95.4222503,27.357454800000006],[95.42229,27.357418],[95.4223706,27.3574076],[95.4223912,27.3574253],[95.42238190000002,27.357461499999996],[95.4224128,27.357488],[95.42248389999999,27.3575049],[95.4224843,27.3575229],[95.42244460000002,27.3575597],[95.42234420000001,27.3575885],[95.4222047,27.3576812],[95.4220342,27.3577383],[95.4219635,27.3577395],[95.4219547,27.357802799999998],[95.4219755,27.357829499999998],[95.4219763,27.357865600000004],[95.4219157,27.3578666],[95.42188460000001,27.357831100000002],[95.4218543,27.357831600000004],[95.4217921,27.3577605],[95.42173070000001,27.3577255],[95.4216503,27.357744900000004],[95.4215808,27.3578003],[95.42155160000002,27.3578549],[95.42148050000002,27.357838100000002],[95.42144030000001,27.357847800000005],[95.4213995,27.3578305],[95.4213987,27.3577944]]]}"
8,0.18351119663330318,0.09545508679007542,0.040799358121128726,0.06052284656199492,0.042549571162102263,0.28627922444225923,0.4924272965339562,0.7403671218079699,-0.6500304682030057,20008,"{""type"":""Polygon"",""coordinates"":[[[95.4217599,27.357210600000002],[95.42180049999999,27.3572189],[95.4218297,27.3571643],[95.42180480000002,27.3569482],[95.4218244,27.3569208],[95.4218547,27.356920200000005],[95.4219143,27.3568741],[95.4218981,27.3565946],[95.42187650000001,27.356531800000003],[95.4218956,27.3564774],[95.4221971,27.356399999999994],[95.4222579,27.3564079],[95.4222699,27.3564979],[95.4224873,27.357198],[95.4225441,27.3574858],[95.4223729,27.357515800000005],[95.4222618,27.357517700000006],[95.4222008,27.3575008],[95.4219481,27.3574961],[95.4219253,27.357379199999997],[95.4218944,27.357352699999996],[95.4218954,27.3573978],[95.421855,27.357398499999995],[95.42186430000001,27.3573622],[95.4218437,27.357344500000004],[95.4218245,27.35739],[95.42178390000001,27.357381699999998],[95.4217726,27.3573277],[95.4218015,27.357263999999997],[95.4217813,27.357264399999995],[95.4217605,27.357237700000002],[95.4217599,27.357210600000002]]]}"
9,0.23585579729038736,0.15288379968890353,0.07308423541283623,0.09800967621952202,0.11227677168723985,0.24694795424447347,0.2451623778404644,0.3743069893981032,-0.43155952419265564,20009,"{""type"":""Polygon"",""coordinates"":[[[95.415496,27.354964100000004],[95.4155026,27.3548015],[95.4158868,27.3548129],[95.41605910000001,27.354836999999996],[95.416053,27.355017600000004],[95.4159418,27.3550195],[95.4156376,27.354970600000005],[95.415496,27.354964100000004]]]}"
