B11,B12,B2,B3,B4,B8,EVI,NDVI,NDWI,poly_id,.geo,tea_label
0.2089795897703005,0.1240704127481278,0.0417615826913639,0.0598546209568275,0.0559398727350031,0.2140150648789315,0.3193087960410083,0.5850061028209391,-0.5623985788837512,2067,"{""type"":""Polygon"",""coordinates"":[[[95.16299509999999,27.5325798],[95.16300220000001,27.5324263],[95.1633863,27.532393199999998],[95.1636494,27.5323891],[95.16364210000002,27.5325336],[95.16299509999999,27.5325798]]]}",1
0.221566334574464,0.1250306727550982,0.0493319159002727,0.0737342825381517,0.0603368460599041,0.29753294461613,0.4603477343184635,0.6619252866078559,-0.6019345079585628,6403,"{""type"":""Polygon"",""coordinates"":[[[95.2555684,27.255189499999997],[95.2556389,27.2551793],[95.25570810000002,27.255106000000005],[95.2557686,27.2551051],[95.2557501,27.2551866],[95.25577060000002,27.2552043],[95.2558518,27.255220999999995],[95.2559349,27.255336999999997],[95.2559854,27.2553362],[95.2560261,27.255353599999996],[95.25601690000002,27.255398800000002],[95.2558983,27.2555271],[95.2558071,27.255510500000003],[95.25572560000002,27.2554757],[95.2556225,27.255369099999996],[95.2555684,27.255189499999997]]]}",1
0.1054004884846533,0.0623255525044459,0.0671491889598038,0.0910658561964113,0.0730501426217953,0.1027335119687064,0.0654364703776856,0.1288250612423156,-0.0230711412508311,12106,"{""type"":""Polygon"",""coordinates"":[[[94.87763729999999,27.353759899999996],[94.8777078,27.353740899999995],[94.8778492,27.353739],[94.8779103,27.353765300000006],[94.8781149,27.3539069],[94.8786585,27.354377900000006],[94.87876080000001,27.3544488],[94.8790666,27.354598099999997],[94.8792393,27.35464989999999],[94.87935069999999,27.354666499999997],[94.87937370000002,27.35482860000001],[94.87918180000001,27.3548402],[94.8790601,27.354814800000003],[94.87905930000001,27.354769700000002],[94.87910989999999,27.354769],[94.8790486,27.3547337],[94.878998,27.354725400000003],[94.878967,27.3546897],[94.8789173,27.354735499999993],[94.8789381,27.354771300000003],[94.8788263,27.3547367],[94.8787142,27.354684],[94.8784374,27.3544531],[94.87842760000001,27.354471300000004],[94.8785302,27.354560199999998],[94.8785305,27.3545782],[94.87848990000002,27.354569699999995],[94.8782953,27.3544189],[94.8781718,27.354285200000003],[94.87803840000001,27.354169700000003],[94.8779867,27.3540982],[94.8779555,27.3540444],[94.8779441,27.3539724],[94.87792450000002,27.354008700000005],[94.87788409999999,27.354009300000005],[94.8777013,27.353957599999998],[94.87769960000001,27.353858300000002],[94.8776681,27.353786600000003],[94.87763729999999,27.353759899999996]]]}",0
0.169725834082487,0.0837286467244965,0.0374960267524982,0.0580406364674461,0.0380131120302765,0.2962745917746767,0.5190874558250186,0.7725215708559778,-0.6721661659334882,16667,"{""type"":""Polygon"",""coordinates"":[[[95.0432566,27.5057567],[95.04355059999999,27.5046875],[95.0438659,27.5047731],[95.0438668,27.504818200000003],[95.0437719,27.5051625],[95.04374470000002,27.505334400000002],[95.043687,27.5054977],[95.0436987,27.505578700000004],[95.0437703,27.505622800000005],[95.0437912,27.505658599999997],[95.0438315,27.505649],[95.0438523,27.505675799999995],[95.0438622,27.505666600000005],[95.04386290000001,27.5057027],[95.0437829,27.505758],[95.0438045,27.5058299],[95.04385579999999,27.5058652],[95.0438561,27.505883300000004],[95.0432566,27.5057567]]]}",1
0.1926350943659456,0.1012015535728235,0.0420802897590421,0.0613096768392551,0.0448964014259273,0.3036958573897381,0.5141842847264142,0.7419024426257883,-0.6635034085641051,9956,"{""type"":""Polygon"",""coordinates"":[[[95.28208280000001,27.389316600000004],[95.28217160000001,27.3892068],[95.28223130000002,27.38916070000001],[95.28235220000002,27.389140700000002],[95.28239180000001,27.389103900000002],[95.2825627,27.389056],[95.282815,27.389033899999998],[95.2828845,27.38896950000001],[95.2829827,27.388832600000004],[95.2831113,27.3886951],[95.28316020000001,27.3886131],[95.2831789,27.388540600000002],[95.2832596,27.388530299999996],[95.2833397,27.388492899999992],[95.28336930000002,27.3884563],[95.2833777,27.3883749],[95.2834376,27.3883378],[95.2835587,27.388326799999998],[95.28369939999999,27.3882884],[95.2838613,27.3882948],[95.2839747,27.3884012],[95.28413830000001,27.3884888],[95.284118,27.388489099999997],[95.2840784,27.388525899999998],[95.2840398,27.3886167],[95.2839281,27.3885915],[95.28372580000001,27.3885858],[95.2836936,27.388496100000005],[95.2836868,27.388658599999996],[95.28361740000001,27.3887229],[95.283529,27.3888507],[95.2833604,27.3890069],[95.2832422,27.3891622],[95.2830244,27.3893824],[95.2828961,27.3895379],[95.28275720000002,27.3896665],[95.28227720000001,27.3894307],[95.28208280000001,27.389316600000004]]]}",1
0.1819066949739826,0.0866099046679113,0.0406602894158384,0.0622595211971071,0.0407832225492414,0.3114006384684663,0.5401559874685206,0.7675100307057352,-0.6659505145366639,12175,"{""type"":""Polygon"",""coordinates"":[[[94.8828494,27.357137399999996],[94.8828588,27.357092100000003],[94.88290900000001,27.3570734],[94.8829999,27.357072199999998],[94.88305080000002,27.357089500000004],[94.88304079999999,27.357098699999998],[94.8830714,27.357116300000005],[94.8831523,27.357115200000003],[94.8832442,27.3571681],[94.8832654,27.357231000000002],[94.8832584,27.357411600000002],[94.88323820000001,27.3574119],[94.8832278,27.357394],[94.883218,27.357412200000006],[94.88320770000001,27.357403300000005],[94.8831777,27.357421800000004],[94.8830965,27.3574048],[94.8830766,27.357423100000002],[94.88304630000002,27.357423500000003],[94.8830567,27.3574414],[94.88303710000001,27.3574778],[94.8830267,27.3574599],[94.8830169,27.3574781],[94.8829662,27.3574697],[94.8829148,27.357416300000008],[94.8829142,27.357380200000005],[94.88288340000001,27.3573535],[94.882892,27.3572631],[94.8828494,27.357137399999996]]]}",0
0.175307242757251,0.0989210061861056,0.0401673225144333,0.0565123124543498,0.0443461559831779,0.2379147354222781,0.4024487969148788,0.6906103732206967,-0.6171523086424013,4477,"{""type"":""Polygon"",""coordinates"":[[[95.10306949999999,27.3520078],[95.1030889,27.3519624],[95.10309679999999,27.351844900000003],[95.10312610000001,27.351790299999998],[95.1031756,27.351735400000003],[95.1032157,27.351716800000002],[95.1033374,27.351741999999998],[95.1035333,27.3519466],[95.1037063,27.352007199999996],[95.10371819999999,27.3521063],[95.1036783,27.352134],[95.10363790000001,27.352134600000003],[95.1035261,27.3521002],[95.103416,27.352156],[95.10327450000001,27.352158099999997],[95.10321300000001,27.3521139],[95.1031118,27.3521064],[95.10308070000002,27.3520618],[95.10306949999999,27.3520078]]]}",1
0.1898188793163396,0.1186601997994268,0.0405228442239167,0.0575452775049953,0.0447148681660445,0.2391824308695869,0.4012733214271895,0.687733894074319,-0.610822918533654,16705,"{""type"":""Polygon"",""coordinates"":[[[95.047963,27.5035757],[95.0480121,27.503493800000005],[95.0480526,27.5034932],[95.04808240000001,27.5034657],[95.04813300000002,27.503464900000004],[95.0481848,27.5035273],[95.0482964,27.5035437],[95.0483553,27.503443599999997],[95.0484052,27.5034068],[95.04842480000002,27.503370400000005],[95.0484238,27.503316199999997],[95.0484435,27.5032889],[95.048575,27.503286900000006],[95.0485659,27.5033412],[95.0485356,27.5033417],[95.0485158,27.503368999999992],[95.0484777,27.503495899999997],[95.0484789,27.5035591],[95.04851,27.503603799999993],[95.04849230000002,27.503739400000004],[95.0484326,27.503794400000004],[95.04818979999999,27.503798],[95.0481176,27.5037269],[95.0480362,27.503701000000007],[95.0480053,27.503674399999998],[95.047963,27.5035757]]]}",1
0.1892194750698777,0.1000739243503112,0.0438264889997778,0.0644605142757169,0.0477767306397182,0.2810542136282579,0.4708735341567022,0.705880818114475,-0.6232511429684843,12189,"{""type"":""Polygon"",""coordinates"":[[[94.8789803,27.348290499999997],[94.8790169,27.3480644],[94.8790851,27.347910099999993],[94.8791149,27.3478826],[94.8791555,27.347891099999995],[94.8792152,27.3478361],[94.87930569999999,27.347807800000002],[94.8794051,27.347707200000002],[94.8794241,27.347634700000004],[94.8794928,27.347516500000005],[94.8796228,27.3474335],[94.8797418,27.3472965],[94.8798623,27.3472498],[94.8799329,27.347239800000004],[94.8799423,27.347203600000004],[94.879963,27.3472304],[94.87998549999999,27.3473655],[94.87998789999999,27.347509800000005],[94.87989909999999,27.348233],[94.8798139,27.34857720000001],[94.87979630000001,27.348730800000002],[94.8798118,27.349046500000007],[94.87984600000001,27.3492807],[94.87983730000002,27.349362000000003],[94.879858,27.3493888],[94.87987790000001,27.3493705],[94.87988710000002,27.3493162],[94.8799777,27.349296999999996],[94.8803516,27.3492919],[94.88104010000002,27.349363899999997],[94.88101070000002,27.349418400000005],[94.8809508,27.3494644],[94.8809317,27.3495278],[94.88083110000001,27.3495562],[94.8807614,27.349620399999996],[94.8807313,27.349629799999995],[94.88072310000001,27.3497472],[94.88070289999999,27.349747500000003],[94.8806731,27.349774999999998],[94.8806838,27.3498109],[94.880704,27.349810700000006],[94.8806842,27.349837999999995],[94.88069590000002,27.3499281],[94.8806761,27.3499554],[94.8806864,27.3499643],[94.8806663,27.3499736],[94.88050460000001,27.349975800000003],[94.8804737,27.34994010000001],[94.8803828,27.349941300000005],[94.8803015,27.349915400000004],[94.88023,27.3498712],[94.88008819999999,27.3498551],[94.8800271,27.349828800000004],[94.88003710000001,27.349819600000004],[94.8800064,27.349802000000004],[94.8799464,27.349838900000005],[94.87992580000001,27.349812099999998],[94.8799356,27.349793899999998],[94.879915,27.3497762],[94.87987480000001,27.3497857],[94.8798138,27.349768499999996],[94.87979390000001,27.3497868],[94.8797636,27.3497872],[94.87972200000002,27.349715599999996],[94.8796917,27.349716],[94.8796101,27.349672],[94.8795706,27.3497266],[94.8795203,27.3497454],[94.8793333,27.349441000000002],[94.8792286,27.349225800000003],[94.8790172,27.348678100000004],[94.8789838,27.3484981],[94.8789803,27.348290499999997]]]}",0
0.1559386155313185,0.0807804487374272,0.0378545186898121,0.0576040176847226,0.0364581579361866,0.2655866323304472,0.4751178736724926,0.7578941620098933,-0.6435869322479942,11607,"{""type"":""Polygon"",""coordinates"":[[[95.0312897,27.399025100000003],[95.03129810000001,27.3989347],[95.0313649,27.3987171],[95.0314206,27.398445600000002],[95.0314302,27.398418400000004],[95.0315153,27.398092200000004],[95.0315542,27.398010499999998],[95.0315844,27.398000999999997],[95.031615,27.3980186],[95.0316265,27.398090600000003],[95.0316576,27.398135300000003],[95.0316808,27.398297400000004],[95.0317014,27.398315200000003],[95.0317754,27.398494600000003],[95.03177770000002,27.398620900000004],[95.0317209,27.398829300000003],[95.0316937,27.3990011],[95.0312897,27.399025100000003]]]}",1
