system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NDVI,NDWI,poly_id,.geo
0_0,0.14816667,0.094,0.0652,0.093,0.0784,0.113,0.13023333,0.14656667,0.100775,0.14985,0.051689889510335735,0.04012386,0.12487792,-0.04012386,6600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.14816667,0.094,0.067,0.0941,0.0762,0.113,0.13023333,0.14656667,0.0782,0.14985,0.004840731485588367,-0.09228091,0.012953346,0.09228091,6600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,0.1477,0.0906,0.0656,0.0921,0.0744,0.1002,0.1351,0.1499,0.084133334,0.15855,0.023430480919469275,-0.045205224,0.061396137,0.045205224,6600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.1477,0.0906,0.05775,0.0794,0.06574,0.1002,0.1351,0.1499,0.0962,0.15855,0.0720084373055655,0.095671944,0.18809436,-0.095671944,6600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.1813,0.1039,0.04965,0.068475,0.0554,0.10755,0.20243333,0.2423,0.19466667,0.2572,0.3015234995374535,0.4795579,0.55691814,-0.4795579,6600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.17925,0.1116,0.0618,0.0874,0.0765,0.1129,0.1747,0.201,0.1627,0.21465,0.18606458148435473,0.30107957,0.3603679,-0.30107957,6600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,0.181025,0.1167,0.0654,0.0944,0.085,0.12123334,0.1634,0.177325,0.1461,0.19456667,0.1310483810720037,0.2149688,0.2643877,-0.2149688,6600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,0.181025,0.1167,0.07255,0.1033,0.0994,0.12123334,0.1634,0.177325,0.1823,0.19456667,0.1678715395407892,0.27661067,0.2942847,-0.27661067,6600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,0.14816667,0.094,0.073,0.1028,0.0941,0.113,0.13023333,0.14656667,0.168,0.14985,0.15589401626713664,0.2407681,0.28195345,-0.2407681,6600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,0.14816667,0.094,0.0714,0.099,0.08873333,0.113,0.13023333,0.14656667,0.1336,0.14985,0.09921863673061737,0.14875321,0.20179911,-0.14875321,6600,"{""type"":""MultiPoint"",""coordinates"":[]}"
