system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NDVI,NDWI,poly_id,.geo
0_0,0.21046667,0.13155,0.0442,0.0608,0.0454,0.11263333,0.2147,0.25515,0.294,0.2765,0.5032796106747379,0.6572717,0.7324691,-0.6572717,200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.2122,0.11835,0.04425,0.0626,0.0474,0.1049,0.2232,0.2597,0.288,0.29195,0.4848753295758809,0.64289784,0.7173524,-0.64289784,200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,0.2122,0.11835,0.04425,0.0626,0.0474,0.1049,0.2232,0.2597,0.288,0.29195,0.4848753295758809,0.64289784,0.7173524,-0.64289784,200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.19574,0.1196,0.0408,0.05446667,0.0398,0.1037,0.2024,0.24645,0.2544,0.27053332,0.4519036711159091,0.64731276,0.7294358,-0.64731276,200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.19574,0.1196,0.0408,0.05446667,0.0398,0.1037,0.2024,0.24645,0.2544,0.27053332,0.4519036711159091,0.64731276,0.7294358,-0.64731276,200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.19,0.096,0.0416,0.0543,0.0396,0.08765,0.1989,0.2452,0.2505,0.2748,0.44830370571125,0.6437008,0.7269907,-0.6437008,200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,0.19574,0.1196,0.04,0.0551,0.0397,0.1037,0.2024,0.24645,0.2493,0.27053332,0.4412631542860967,0.63797635,0.7252595,-0.63797635,200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,0.19574,0.1196,0.04,0.0551,0.0397,0.1037,0.2024,0.24645,0.2493,0.27053332,0.4412631542860967,0.63797635,0.7252595,-0.63797635,200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,0.19,0.096,0.042275,0.0544,0.0398,0.08765,0.1989,0.2452,0.22366667,0.2748,0.40131395233867445,0.6087269,0.6978745,-0.6087269,200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,0.18215,0.0982,0.0408,0.0556,0.0412,0.08755,0.1905,0.2387,0.24472,0.2584,0.4290339943689695,0.6297283,0.7118075,-0.6297283,200,"{""type"":""MultiPoint"",""coordinates"":[]}"
