system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NDVI,NDWI,poly_id,.geo
0_0,0.27545,0.18925,0.061,0.0811,0.08255,0.13985,0.21465,0.24915,0.24855,0.2772,0.32261827001630106,0.507963,0.5013591,-0.507963,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.2269,0.14515,0.0529,0.07935,0.0744,0.10755,0.2161,0.25405,0.27605,0.27775,0.38027080458026197,0.5534609,0.57540303,-0.5534609,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,0.2715,0.17945,0.0588,0.07975,0.08215,0.1337,0.22285,0.2582,0.25865,0.28385,0.33669072087679724,0.5286643,0.5178991,-0.5286643,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.2715,0.17945,0.0577,0.08115,0.0815,0.1337,0.22285,0.2582,0.25725,0.28385,0.3345070573830127,0.5203901,0.5188192,-0.5203901,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.2269,0.14515,0.04935,0.0725,0.0644,0.10755,0.2161,0.25405,0.2888,0.27775,0.4298603477499919,0.5986715,0.6353341,-0.5986715,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.2715,0.17945,0.0575,0.084,0.0834,0.1337,0.22285,0.2582,0.259,0.28385,0.3305349498427457,0.5102041,0.51285046,-0.5102041,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,0.2715,0.17945,0.0571,0.0806,0.0811,0.1337,0.22285,0.2582,0.2457,0.28385,0.3155553846418795,0.5059761,0.50367194,-0.5059761,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,0.2568,0.17785,0.0566,0.08305,0.08585,0.1279,0.2115,0.24325,0.2537,0.26685,0.31215128618281596,0.50675577,0.4943307,-0.50675577,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,0.2568,0.17785,0.0555,0.081,0.0837,0.1279,0.2115,0.24325,0.24335,0.26685,0.3002520081957395,0.50053954,0.48815164,-0.50053954,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,0.2088,0.1354,0.0455,0.06675,0.06185,0.0968,0.1978,0.23555,0.22235,0.255,0.32043603252296216,0.5382221,0.56474316,-0.5382221,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,0.2568,0.17785,0.05795,0.0828,0.0864,0.1279,0.2115,0.24325,0.2413,0.26685,0.29224760633319,0.4890466,0.47268844,-0.4890466,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,0.2568,0.17785,0.0555,0.0795,0.0866,0.1279,0.2115,0.24325,0.2388,0.26685,0.28350036756345975,0.5004713,0.46773204,-0.5004713,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,0.2651,0.1832,0.05875,0.08115,0.08805,0.1367,0.2162,0.2449,0.23615,0.2645,0.27968197489448543,0.48849666,0.45681676,-0.48849666,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,0.20925,0.14325,0.0399,0.0573,0.05205,0.1039,0.192,0.2257,0.21165,0.23785,0.3257940791229072,0.5738985,0.60523325,-0.5738985,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14,0.20925,0.14325,0.05025,0.07335,0.07615,0.1039,0.192,0.2257,0.21935,0.23785,0.2755170690803534,0.49880424,0.48460236,-0.49880424,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15,0.2504,0.1827,0.0542,0.078,0.0846,0.129,0.2014,0.2273,0.2302,0.2499,0.2734169453240067,0.49383515,0.46251586,-0.49383515,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16,0.2504,0.1827,0.0556,0.0828,0.086,0.129,0.2014,0.2273,0.2342,0.2499,0.2779027803617772,0.4776025,0.46283573,-0.4776025,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17,0.20925,0.14325,0.0446,0.06305,0.0569,0.1039,0.192,0.2257,0.22715,0.23785,0.34490092755593293,0.56547207,0.5993663,-0.56547207,10600,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.24345,0.15925,0.0548,0.08035,0.0834,0.14115,0.21425,0.2392,0.2482,0.26655,0.308014341303536,0.5108812,0.4969843,-0.5108812,10601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,0.24345,0.15925,0.0609,0.08965,0.0885,0.14115,0.21425,0.2392,0.2472,0.26655,0.3002383665653804,0.46771562,0.4727435,-0.46771562,10601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,0.26065,0.1712,0.06915,0.0962,0.0993,0.1585,0.2228,0.24465,0.2537,0.27155,0.2900347424494259,0.45012861,0.43739375,-0.45012861,10601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,0.2256,0.14915,0.05595,0.0825,0.08155,0.13725,0.20155,0.2259,0.24265,0.2526,0.3068980609505378,0.49254188,0.4969155,-0.49254188,10601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,0.24345,0.15925,0.05785,0.0825,0.08025,0.14115,0.21425,0.2392,0.25045,0.26655,0.3277930442319329,0.50443006,0.51466584,-0.50443006,10601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,0.24345,0.15925,0.05965,0.08555,0.0817,0.14115,0.21425,0.2392,0.25225,0.26655,0.3292280234823356,0.49348724,0.5107052,-0.49348724,10601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,0.26065,0.1712,0.0609,0.0902,0.0885,0.1585,0.2228,0.24465,0.24985,0.27155,0.30464089280203266,0.46948978,0.47687307,-0.46948978,10601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,0.22765,0.1478,0.05745,0.081,0.0787,0.1347,0.2122,0.2357,0.24445,0.2657,0.3222764583267206,0.50222766,0.5129197,-0.50222766,10601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,0.22765,0.1478,0.0572,0.08315,0.0778,0.1347,0.2122,0.2357,0.2487,0.2657,0.3321025975944267,0.49886996,0.52343035,-0.49886996,10601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,0.2341,0.14865,0.05885,0.08445,0.0805,0.13825,0.21835,0.2459,0.2576,0.2728,0.3407801018708232,0.50621253,0.52380955,-0.50621253,10601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,0.2341,0.14865,0.05965,0.0866,0.08455,0.13825,0.21835,0.2459,0.255,0.2728,0.3240679026116119,0.49297425,0.50198793,-0.49297425,10601,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.1884,0.1007,0.0426,0.0621,0.0475,0.10125,0.23155,0.27235,0.2714,0.29615,0.45254265275886413,0.6275862,0.702101,-0.6275862,10602,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,0.1716,0.0931,0.0417,0.05935,0.0436,0.09215,0.2351,0.2821,0.28775,0.30185,0.49359131146497237,0.65802366,0.73683417,-0.65802366,10602,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,0.1716,0.0931,0.0408,0.0583,0.04075,0.09215,0.2351,0.2821,0.301,0.30185,0.5249092378996563,0.6754801,0.7615216,-0.6754801,10602,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,0.15785,0.08335,0.03815,0.054,0.0376,0.08575,0.22005,0.26395,0.28585,0.2884,0.5064982637295108,0.6822127,0.76750654,-0.6822127,10602,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,0.1947,0.10365,0.0403,0.05735,0.0425,0.09895,0.22965,0.2669,0.2935,0.29245,0.5035105409356591,0.67307967,0.7470238,-0.67307967,10602,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,0.1884,0.1007,0.03865,0.0562,0.04175,0.10125,0.23155,0.27235,0.27805,0.29615,0.47692091287928673,0.6637248,0.73889935,-0.6637248,10602,"{""type"":""MultiPoint"",""coordinates"":[]}"
