system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NDVI,NDWI,poly_id,.geo
0_0,0.19372222,0.11061,0.04362,0.065672,0.05080588,0.1132,0.23948333,0.27002,0.29005,0.29905,0.4717943139244336,0.6307678,0.7018923,-0.6307678,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.1892,0.103045456,0.05041875,0.073573686,0.05422396,0.10551905,0.2374,0.2703,0.309,0.29976666,0.5070358925521946,0.61537504,0.7014296,-0.61537504,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,0.1892,0.103045456,0.04312174,0.066352,0.0512,0.10551905,0.2374,0.2703,0.28416666,0.29976666,0.459335941707815,0.62140673,0.6946626,-0.62140673,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.1937,0.1037,0.04322,0.06596154,0.051307693,0.11331667,0.24713333,0.27425,0.26196,0.3185,0.42277377930902815,0.5976993,0.67243546,-0.5976993,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.19327143,0.11116364,0.043561112,0.057686668,0.042169232,0.10591538,0.2232,0.25534,0.22796,0.289675,0.40239988772365254,0.59609777,0.6877848,-0.59609777,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.1937,0.1037,0.04280909,0.06635714,0.05053846,0.11331667,0.24713333,0.27425,0.2838,0.3185,0.4606406741126709,0.6209865,0.69768083,-0.6209865,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,0.19327143,0.11116364,0.043078948,0.06573077,0.04331579,0.10591538,0.2232,0.25534,0.24113333,0.289675,0.4198393358457081,0.57159686,0.6954408,-0.57159686,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,0.19327143,0.11116364,0.0438,0.06621739,0.050205555,0.10591538,0.2232,0.25534,0.27544,0.289675,0.4511281530716102,0.6123755,0.6916552,-0.6123755,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,0.1896,0.103544444,0.04334091,0.06575417,0.050331578,0.105405554,0.23592,0.26805,0.2833,0.29424,0.4621536237664218,0.62324375,0.6982805,-0.62324375,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,0.1896,0.103544444,0.050295,0.07425714,0.051385716,0.105405554,0.23592,0.26805,0.30053332,0.29424,0.5057252828929982,0.6037405,0.70796853,-0.6037405,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,0.2368,0.1637,0.050605554,0.06998697,0.050786667,0.11286875,0.22346666,0.26353332,0.273275,0.2846,0.4641155302858133,0.5922241,0.6865617,-0.5922241,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,0.1896,0.103544444,0.0422625,0.0663,0.043277778,0.105405554,0.23592,0.26805,0.27195,0.29424,0.47065536858864326,0.6079823,0.72541904,-0.6079823,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,0.18523,0.099446155,0.043104347,0.066775,0.04194,0.09737619,0.23825,0.2695,0.2683,0.2976,0.47290059354560715,0.6014325,0.7296287,-0.6014325,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,0.18523,0.099446155,0.043273684,0.06587368,0.043,0.09737619,0.23825,0.2695,0.2975,0.2976,0.5168783282614637,0.6374329,0.74743026,-0.6374329,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14,0.18523,0.099446155,0.043045834,0.057910528,0.043161113,0.09737619,0.23825,0.2695,0.2652,0.2976,0.4620715917242566,0.6415435,0.72006124,-0.6415435,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15,0.1746,0.094141476,0.043045,0.058676925,0.043225,0.097552635,0.24135,0.2701,0.2458,0.30335,0.4283448722739627,0.6145723,0.7008909,-0.6145723,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16,0.1746,0.094141476,0.04276522,0.06691334,0.043333333,0.097552635,0.24135,0.2701,0.25146666,0.30335,0.43698773524461576,0.5796637,0.70601535,-0.5796637,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17,0.17265,0.09291428,0.04306842,0.065925,0.042431578,0.10538421,0.24775,0.27905,0.276,0.31006667,0.48354794032653337,0.6143891,0.7334964,-0.6143891,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18,0.17265,0.09291428,0.04300435,0.066,0.042233333,0.10538421,0.24775,0.27905,0.2764,0.31006667,0.48491053121705124,0.614486,0.73490953,-0.614486,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19,0.1819,0.10844286,0.05094,0.074255,0.05050833,0.113214284,0.23575,0.27005,0.2851,0.28946668,0.48626084157615457,0.5867318,0.6990043,-0.5867318,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20,0.1819,0.10844286,0.05094,0.074255,0.05050833,0.113214284,0.23575,0.27005,0.2851,0.28946668,0.48626084157615457,0.5867318,0.6990043,-0.5867318,1600,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.194925,0.09445,0.043425,0.074229166,0.043015,0.109763525,0.2754,0.3304,0.3384,0.3568,0.5810993607929742,0.64021367,0.7744452,-0.64021367,1601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,0.1932375,0.0922,0.04207222,0.074005,0.04335238,0.10889156,0.26815,0.327375,0.3306,0.350525,0.563154372234759,0.63418645,0.76813954,-0.63418645,1601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,0.1932375,0.0922,0.042544443,0.067705266,0.042585,0.10889156,0.26815,0.327375,0.3188,0.350525,0.5501297218258403,0.6496541,0.76432335,-0.6496541,1601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,0.19564167,0.0938625,0.043013044,0.072285,0.04264706,0.10845571,0.2717,0.3315,0.3296,0.35475,0.5680506363797909,0.64027023,0.77086693,-0.64027023,1601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,0.19564167,0.0938625,0.043338094,0.07371667,0.0445125,0.10845571,0.2717,0.3315,0.33946666,0.35475,0.5754053691858257,0.6431769,0.76815146,-0.6431769,1601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,0.19651428,0.0915875,0.043090478,0.073522225,0.04275,0.10763333,0.27745,0.33245,0.3471,0.35995,0.5942379311501174,0.6504121,0.7806849,-0.6504121,1601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,0.19651428,0.0915875,0.043773685,0.06678947,0.04070625,0.10763333,0.27745,0.33245,0.321,0.35995,0.566508721552698,0.6555375,0.77492094,-0.6555375,1601,"{""type"":""MultiPoint"",""coordinates"":[]}"
