system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NDVI,NDWI,poly_id,.geo
0_0,0.19185,0.09705,0.04148333,0.0589,0.04586667,0.10035,0.239225,0.29675,0.2938,0.326,0.4927622463913436,0.66600513,0.7299313,-0.66600513,8200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.19185,0.09705,0.046575,0.062533334,0.052,0.10035,0.239225,0.29675,0.27493334,0.326,0.45032639890627607,0.6293955,0.68189234,-0.6293955,8200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,0.233225,0.13785,0.053066667,0.076466665,0.0686,0.1164,0.23435,0.27345,0.2928,0.30675,0.429041661128503,0.5858458,0.62036526,-0.5858458,8200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.21376666,0.11728334,0.0495875,0.07006667,0.061766665,0.10755,0.2394,0.2827,0.292,0.315575,0.4459487998231617,0.6129626,0.6508056,-0.6129626,8200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.233225,0.13785,0.052265,0.0751,0.069,0.1164,0.23435,0.27345,0.2933,0.30675,0.42632455275249626,0.592291,0.6191002,-0.592291,8200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.21376666,0.11728334,0.049825,0.0707,0.0628,0.10755,0.2394,0.2827,0.28795,0.315575,0.43597814657722994,0.60574377,0.6419102,-0.60574377,8200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,0.23932083,0.14623334,0.054333333,0.07496667,0.07095,0.1179,0.22875,0.27425,0.28815,0.308225,0.4156619722035517,0.58709323,0.60484546,-0.58709323,8200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,0.2123,0.117325,0.047795,0.06675,0.058925,0.10073333,0.2308,0.2806,0.282,0.31535,0.4366870086301872,0.6172043,0.6543228,-0.6172043,8200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,0.23932083,0.14623334,0.0508125,0.0699,0.0662,0.1179,0.22875,0.27425,0.2614,0.308225,0.38199423264614146,0.578026,0.5958486,-0.578026,8200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,0.23932083,0.14623334,0.051533334,0.0737375,0.067725,0.1179,0.22875,0.27425,0.2908,0.308225,0.42550451974076253,0.5954463,0.6222021,-0.5954463,8200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,0.23054643,0.1397,0.05272143,0.074225,0.07063334,0.1139,0.22406666,0.2725,0.2693,0.30085,0.3827315885207724,0.56786263,0.5844283,-0.56786263,8200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,0.23054643,0.1397,0.048366666,0.06986,0.062175,0.1139,0.22406666,0.2725,0.29475,0.30085,0.44552891974499825,0.6167961,0.6516075,-0.6167961,8200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,0.23054643,0.1397,0.05181667,0.07676667,0.069,0.1139,0.22406666,0.2725,0.2859,0.30085,0.4135288227877445,0.5766544,0.6111581,-0.5766544,8200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,0.23054643,0.1397,0.045525,0.06532222,0.0556375,0.1139,0.22406666,0.2725,0.2786,0.30085,0.438561557321933,0.62013376,0.6670781,-0.62013376,8200,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.205,0.12065,0.0503,0.07293333,0.06075,0.10236666,0.21908334,0.2715,0.3271,0.29605,0.5066192492266856,0.63536376,0.68673456,-0.63536376,8201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,0.205,0.12065,0.04505,0.06685,0.050025,0.10236666,0.21908334,0.2715,0.31805,0.29605,0.5233534324331878,0.65263706,0.7281804,-0.65263706,8201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,0.24463333,0.1465125,0.05025,0.076066665,0.062325,0.12716667,0.255875,0.31265,0.3402,0.34236667,0.5194799232614297,0.6345292,0.6903298,-0.6345292,8201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,0.24463333,0.1465125,0.04805,0.072225,0.0636,0.12716667,0.255875,0.31265,0.31913334,0.34236667,0.47661384136873086,0.6309009,0.6676537,-0.6309009,8201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,0.2432,0.14855,0.04775,0.071775,0.06035,0.132,0.24463333,0.28935,0.337,0.3219,0.5157627990472597,0.64882886,0.69623756,-0.64882886,8201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,0.17185,0.09483334,0.040385,0.05615,0.0444,0.08505,0.15924166,0.1901,0.216,0.210625,0.36370959814271214,0.5873599,0.6589862,-0.5873599,8201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,0.193175,0.109,0.04585,0.0673,0.0516,0.09125,0.1905,0.2373,0.28946668,0.25996667,0.4737656429803599,0.6227226,0.6974199,-0.6227226,8201,"{""type"":""MultiPoint"",""coordinates"":[]}"
