system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NDVI,NDWI,poly_id,.geo
0_0,0.17643334,0.0995,0.0453,0.0645,0.05305,0.0912,0.23355,0.2797,0.3136,0.30923334,0.5041016940731201,0.65882045,0.7106232,-0.65882045,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.17643334,0.0995,0.044366665,0.0634,0.0529,0.0912,0.23355,0.2797,0.30706668,0.30923334,0.4919164509487487,0.657729,0.7060839,-0.657729,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,0.1766,0.0976,0.0423,0.0574,0.0456,0.0875,0.21705,0.2612,0.2513,0.286,0.42582703048294,0.6281179,0.69282585,-0.6281179,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.1766,0.0976,0.04385,0.0654,0.0482,0.0875,0.21705,0.2612,0.2818,0.286,0.4701620261280953,0.6232719,0.70787877,-0.6232719,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.1636,0.0912,0.04325,0.062766664,0.0491,0.0841,0.2106,0.25474286,0.3057,0.2926,0.5027724978279018,0.65930885,0.72322434,-0.65930885,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.1636,0.0912,0.0399,0.0569,0.04523333,0.0841,0.2106,0.25474286,0.2873,0.2926,0.4805007432722619,0.6693783,0.72794706,-0.6693783,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,0.15284,0.0795875,0.04075,0.05623333,0.0426,0.0719,0.1931,0.24,0.29996666,0.27605,0.5147573587354677,0.6842598,0.7512893,-0.6842598,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,0.15284,0.0795875,0.03828,0.05305,0.040325,0.0719,0.1931,0.24,0.3017,0.27605,0.5200250554269042,0.7009161,0.76419854,-0.7009161,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,0.1766,0.0976,0.0378,0.053533334,0.0421,0.0875,0.21705,0.2612,0.2644,0.286,0.45054722505289246,0.66324174,0.7252855,-0.66324174,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,0.1766,0.0976,0.03645,0.054833334,0.03895,0.0875,0.21705,0.2612,0.28433332,0.286,0.49287284887063054,0.67665845,0.7590349,-0.67665845,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,0.1636,0.0912,0.0347,0.050533332,0.03555,0.0841,0.2106,0.25474286,0.291,0.2926,0.5133435328120846,0.7040796,0.7822692,-0.7040796,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,0.1636,0.0912,0.0321,0.0417,0.02905,0.0841,0.2106,0.25474286,0.226,0.2926,0.42462592397311383,0.6884572,0.77220154,-0.6884572,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,0.15284,0.0795875,0.0297,0.0375,0.026775,0.0719,0.1931,0.24,0.1998,0.27605,0.38020787178722426,0.68394434,0.7636544,-0.68394434,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,0.15284,0.0795875,0.030775,0.03865,0.028833333,0.0719,0.1931,0.24,0.19818333,0.27605,0.3712607987813716,0.67361015,0.74598044,-0.67361015,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14,0.1612,0.0844,0.0336,0.0425625,0.0317,0.07367778,0.1974,0.2513,0.2446,0.27023333,0.4499915378620442,0.70356506,0.7705393,-0.70356506,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15,0.1612,0.0844,0.034666665,0.04528,0.033533335,0.07367778,0.1974,0.2513,0.252275,0.27023333,0.4582032577111245,0.6956529,0.7653439,-0.6956529,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16,0.14293334,0.07345,0.0309,0.04346,0.0309,0.0664,0.17504,0.22096667,0.2399,0.24776667,0.43776966701623343,0.6932524,0.7717873,-0.6932524,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17,0.14293334,0.07345,0.03195,0.0389,0.02676,0.0664,0.17504,0.22096667,0.18433334,0.24776667,0.3564142142713441,0.65148574,0.7464629,-0.65148574,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18,0.13965,0.067185715,0.0294,0.0353,0.0247,0.0649,0.1653,0.2062,0.16704,0.22943333,0.32505435857698406,0.65108234,0.74235946,-0.65108234,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19,0.13965,0.067185715,0.031666666,0.039866667,0.028033333,0.0649,0.1653,0.2062,0.17276,0.22943333,0.32789286106782867,0.6250078,0.72077423,-0.6250078,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20,0.1612,0.0844,0.032733332,0.04145,0.02875,0.07367778,0.1974,0.2513,0.21172,0.27023333,0.4017010365492858,0.67255205,0.76088494,-0.67255205,13200,"{""type"":""MultiPoint"",""coordinates"":[]}"
