system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NDVI,NDWI,poly_id,.geo
0_0,0.0219,0.0163,0.0856,0.1042,0.0906,0.0876,0.0588,0.06,0.0492,0.0437,-0.1088557057332745,-0.35853976,-0.29613736,0.35853976,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.0235,0.0173,0.0854,0.1032,0.0912,0.0858,0.0567,0.0599,0.0509,0.0425,-0.10521094426946702,-0.33939,-0.2836031,0.33939,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,0.0235,0.0173,0.0828,0.1026,0.09,0.0858,0.0567,0.0599,0.0509,0.0425,-0.10078359073831623,-0.33680782,-0.2775018,0.33680782,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.0219,0.0163,0.0855,0.1046,0.0905,0.0876,0.0588,0.06,0.0492,0.0437,-0.10857563541048168,-0.36020806,-0.2956335,0.36020806,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.0235,0.0173,0.0849,0.1028,0.0904,0.0858,0.0567,0.0599,0.0479,0.0425,-0.11142573327965186,-0.36429992,-0.30730298,0.36429992,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.0235,0.0173,0.0842,0.1036,0.0896,0.0858,0.0567,0.0599,0.0499,0.0425,-0.10381798977513765,-0.34983715,-0.2845878,0.34983715,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,0.0269,0.0203,0.0834,0.1036,0.0907,0.0861,0.0611,0.0643,0.0472,0.0464,-0.11258929430222525,-0.3740053,-0.31544596,0.3740053,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,0.0269,0.0203,0.0838,0.1026,0.0893,0.0861,0.0611,0.0643,0.05,0.0464,-0.1026324023486413,-0.344692,-0.2821249,0.344692,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,0.0294,0.0233,0.0846,0.1024,0.0896,0.0889,0.0657,0.0664,0.0516,0.0533,-0.09950768884410961,-0.3298701,-0.26912177,0.3298701,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,0.023,0.0173,0.0852,0.106,0.0899,0.0874,0.0605,0.0655,0.0494,0.045,-0.10660138594442926,-0.36422133,-0.29073942,0.36422133,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,0.0227,0.0171,0.0864,0.1042,0.0905,0.0866,0.0577,0.0607,0.0476,0.0423,-0.11378102466211822,-0.372859,-0.31064445,0.372859,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,0.0227,0.0171,0.0848,0.1026,0.0905,0.0866,0.0577,0.0607,0.0481,0.0423,-0.11098313987670556,-0.36164567,-0.3059163,0.36164567,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,0.0237,0.0174,0.085,0.101,0.0914,0.087,0.0562,0.0556,0.0472,0.0421,-0.11533241995481087,-0.36302295,-0.3189033,0.36302295,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,0.0237,0.0174,0.083,0.1006,0.0916,0.087,0.0562,0.0556,0.047,0.0421,-0.1144646371541154,-0.36314362,-0.32178935,0.36314362,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14,0.0246,0.021,0.085,0.1023,0.0897,0.0864,0.0582,0.0557,0.0486,0.042,-0.10823764828435291,-0.35586482,-0.29718003,0.35586482,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15,0.0246,0.021,0.0838,0.1011,0.0892,0.0864,0.0582,0.0557,0.048,0.042,-0.10788729090261209,-0.3561368,-0.30029154,0.3561368,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16,0.0246,0.021,0.0838,0.1011,0.0892,0.0864,0.0582,0.0557,0.048,0.042,-0.10788729090261209,-0.3561368,-0.30029154,0.3561368,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17,0.0271,0.0208,0.084,0.1026,0.091,0.087,0.0598,0.062,0.0493,0.047,-0.10799750903772679,-0.35088876,-0.29722023,0.35088876,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18,0.0227,0.0171,0.0871,0.1052,0.0902,0.0866,0.0577,0.0607,0.0534,0.0423,-0.09773198264349915,-0.32660782,-0.25626743,0.32660782,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19,0.0227,0.0171,0.0885,0.1064,0.0928,0.0866,0.0577,0.0607,0.0492,0.0423,-0.1156805546031196,-0.36760926,-0.30704227,0.36760926,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20,0.0237,0.0174,0.0855,0.1054,0.0906,0.087,0.0562,0.0556,0.0474,0.0421,-0.11371413082244695,-0.37958115,-0.31304345,0.37958115,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21,0.0237,0.0174,0.0853,0.104,0.0908,0.087,0.0562,0.0556,0.0479,0.0421,-0.11254526064392952,-0.36932194,-0.30930066,0.36932194,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22,0.0246,0.021,0.0846,0.1008,0.09,0.0864,0.0582,0.0557,0.0481,0.042,-0.10984690865737105,-0.35392883,-0.30340338,0.35392883,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23,0.0246,0.021,0.083,0.1016,0.0903,0.0864,0.0582,0.0557,0.0482,0.042,-0.1087855291416802,-0.3564753,-0.3039711,0.3564753,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24,0.0246,0.021,0.083,0.1016,0.0903,0.0864,0.0582,0.0557,0.0482,0.042,-0.1087855291416802,-0.3564753,-0.3039711,0.3564753,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25,0.0271,0.0208,0.0838,0.1001,0.0896,0.087,0.0598,0.062,0.0463,0.047,-0.11330332102508389,-0.36748633,-0.3186166,0.36748633,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26,0.0271,0.0208,0.084,0.101,0.09,0.087,0.0598,0.062,0.047,0.047,-0.1123302087568929,-0.3648649,-0.31386864,0.3648649,11200,"{""type"":""MultiPoint"",""coordinates"":[]}"
