system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NDVI,NDWI,poly_id,.geo
0_0,0.1884375,0.0887,0.04215,0.06348571,0.045925,0.10052,0.2441,0.2958,0.3038,0.3204,0.5103504709545803,0.65429795,0.73736507,-0.65429795,20800,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.19195,0.0902,0.03986,0.05902,0.04384,0.10242222,0.2398,0.2882,0.2822,0.3156,0.47813913421589505,0.65406483,0.73107594,-0.65406483,20800,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,0.19195,0.0902,0.042025,0.0598,0.0415,0.10242222,0.2398,0.2882,0.2888,0.3156,0.5056794450252925,0.6569134,0.7487133,-0.6569134,20800,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.1908,0.08925,0.040375,0.061975,0.04204,0.10444,0.2568,0.2997,0.3036,0.3284,0.5218560837431154,0.6609451,0.7567411,-0.6609451,20800,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.1884375,0.0887,0.04215,0.06348571,0.045925,0.10052,0.2441,0.2958,0.3038,0.3204,0.5103504709545803,0.65429795,0.73736507,-0.65429795,20800,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.19195,0.0902,0.04012,0.0597,0.0419,0.10242222,0.2398,0.2882,0.2762,0.3156,0.47750059378551196,0.64453703,0.7365608,-0.64453703,20800,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,0.19195,0.0902,0.040144444,0.057866666,0.0426,0.10242222,0.2398,0.2882,0.2824,0.3156,0.484672933559125,0.6598746,0.7378462,-0.6598746,20800,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,0.1908,0.08925,0.04191667,0.06117,0.043466665,0.10444,0.2568,0.2997,0.3088,0.3284,0.5284577457981123,0.6693246,0.7532173,-0.6693246,20800,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,0.1923,0.0929,0.039936364,0.059483334,0.04442,0.102675,0.24125,0.2883,0.29,0.3116,0.48842586683144673,0.65959275,0.73434603,-0.65959275,20800,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,0.1923,0.0929,0.0418,0.061416667,0.04205,0.102675,0.24125,0.2883,0.2956,0.3116,0.5135085804369379,0.6559451,0.7509255,-0.6559451,20800,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,0.1888,0.08883333,0.040314287,0.061,0.041825,0.102575,0.24923334,0.2979,0.3006,0.3237,0.5178843960526368,0.6626106,0.7557129,-0.6626106,20800,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,0.1923,0.0929,0.039766666,0.061425,0.04785,0.102675,0.24125,0.2883,0.2879,0.3116,0.47004111155033756,0.64832175,0.7149665,-0.64832175,20800,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,0.1923,0.0929,0.040266667,0.059383333,0.0442,0.102675,0.24125,0.2883,0.296,0.3116,0.4999205927688308,0.6658069,0.74015284,-0.6658069,20800,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,0.1888,0.08883333,0.03987143,0.05924,0.0441,0.102575,0.24923334,0.2979,0.3002,0.3237,0.5058208457255351,0.6703761,0.74382806,-0.6703761,20800,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.194175,0.098025,0.043933332,0.06311667,0.04554,0.094653845,0.24385,0.2963,0.31626666,0.32785,0.5371532158194171,0.667267,0.74826336,-0.667267,20801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,0.20828572,0.1129,0.04387143,0.06734,0.051683333,0.10645,0.24115,0.2975,0.3256,0.3253,0.5240762105525552,0.65725046,0.7260238,-0.65725046,20801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,0.2145,0.1172,0.0435,0.0617375,0.0476,0.1066875,0.2517,0.3028,0.3116,0.325,0.519296579963715,0.66926706,0.7349666,-0.66926706,20801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,0.2145,0.1172,0.04196,0.0618,0.045333333,0.1066875,0.2517,0.3028,0.3076,0.325,0.5183545370455135,0.66540337,0.7431054,-0.66540337,20801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,0.2078,0.1145,0.04356,0.059525,0.0438,0.10252,0.25465,0.303,0.31226668,0.3366,0.5376358553443714,0.6797938,0.75397867,-0.6797938,20801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,0.2078,0.1145,0.04578,0.0633875,0.0503,0.10252,0.25465,0.303,0.3206,0.3366,0.528321811153575,0.66984606,0.7287679,-0.66984606,20801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,0.20828572,0.1129,0.043775,0.06341667,0.04565,0.10645,0.24115,0.2975,0.2888,0.3253,0.49245070312019606,0.6398997,0.7270145,-0.6398997,20801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,0.20828572,0.1129,0.043936364,0.06925,0.05403333,0.10645,0.24115,0.2975,0.3084,0.3253,0.4880114958786996,0.6332583,0.7018302,-0.6332583,20801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,0.2145,0.1172,0.04576,0.065866664,0.053233333,0.1066875,0.2517,0.3028,0.2962,0.325,0.47737871515248836,0.6361628,0.69531626,-0.6361628,20801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,0.2145,0.1172,0.04358,0.061442856,0.04964,0.1066875,0.2517,0.3028,0.2934,0.325,0.48197152573157176,0.65368974,0.7105877,-0.65368974,20801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,0.2078,0.1145,0.04352,0.0617,0.0483,0.10252,0.25465,0.303,0.3,0.3366,0.4980607990511945,0.65883327,0.7226529,-0.65883327,20801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,0.2078,0.1145,0.042016666,0.0613125,0.0488,0.10252,0.25465,0.303,0.3156,0.3366,0.5157449263243642,0.67465925,0.7321625,-0.67465925,20801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,0.2078,0.1145,0.042016666,0.0613125,0.0488,0.10252,0.25465,0.303,0.3156,0.3366,0.5157449263243642,0.67465925,0.7321625,-0.67465925,20801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,0.21893333,0.1279,0.0463,0.06542857,0.05731667,0.11036,0.2323,0.2757,0.2792,0.3029,0.4347754861664482,0.6202951,0.65935314,-0.6202951,20801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,0.21893333,0.1279,0.0419,0.05955,0.04568,0.11036,0.2323,0.2757,0.2975,0.3029,0.5007038935850435,0.6664333,0.733784,-0.6664333,20801,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.2347,0.1478,0.04778889,0.0632,0.0494,0.12393333,0.237375,0.2741,0.2802,0.31,0.4736561252089442,0.63191617,0.7002427,-0.63191617,20802,"{""type"":""MultiPoint"",""coordinates"":[]}"
