system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NDVI,NDWI,poly_id,.geo
0_0,0.1883,0.11195,0.0512,0.06625,0.0606,0.08595,0.17395,0.2088,0.2243,0.2265,0.3399368587283496,0.5439684,0.5745876,-0.5439684,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.2896,0.18265,0.0587,0.08625,0.08175,0.1424,0.26545,0.30375,0.3262,0.3485,0.4439863591829466,0.5817675,0.5992156,-0.5817675,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,0.2902,0.17815,0.0612,0.0883,0.08285,0.14445,0.2597,0.30395,0.325,0.3397,0.44411632865744766,0.5727075,0.5937232,-0.5727075,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.2902,0.17815,0.0612,0.0877,0.0829,0.14445,0.2597,0.30395,0.3068,0.3397,0.4161091320175927,0.55538654,0.57454455,-0.55538654,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.277,0.1668,0.0591,0.0835,0.0757,0.13355,0.2509,0.2908,0.3178,0.32925,0.4555032660927288,0.58385247,0.6152478,-0.58385247,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.277,0.1668,0.058,0.0849,0.07295,0.13355,0.2509,0.2908,0.3262,0.32925,0.47642788870764696,0.5869618,0.63447326,-0.5869618,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,0.2618,0.1617,0.0573,0.0836,0.07095,0.12645,0.24395,0.28275,0.3218,0.3121,0.4759058879856723,0.5875678,0.63870144,-0.5875678,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,0.2618,0.1617,0.057,0.0826,0.0737,0.12645,0.24395,0.28275,0.3079,0.3121,0.4426886486392167,0.57695264,0.6137317,-0.57695264,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,0.2618,0.1617,0.057,0.0826,0.0737,0.12645,0.24395,0.28275,0.3079,0.3121,0.4426886486392167,0.57695264,0.6137317,-0.57695264,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,0.2896,0.18265,0.0637,0.08895,0.08155,0.1424,0.26545,0.30375,0.3464,0.3485,0.487591565580774,0.59136325,0.6188807,-0.59136325,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,0.2896,0.18265,0.0663,0.0958,0.0902,0.1424,0.26545,0.30375,0.3664,0.3485,0.48959478110807597,0.58546084,0.60490584,-0.58546084,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,0.2902,0.17815,0.0644,0.0933,0.0886,0.14445,0.2597,0.30395,0.3728,0.3397,0.49985928078770175,0.5996567,0.6159514,-0.5996567,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,0.2902,0.17815,0.0639,0.09285,0.08705,0.14445,0.2597,0.30395,0.3622,0.3397,0.48950364543886327,0.591913,0.6124652,-0.591913,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,0.277,0.1668,0.0631,0.0912,0.08355,0.13355,0.2509,0.2908,0.36,0.32925,0.49791077113628035,0.59574467,0.6232668,-0.59574467,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14,0.277,0.1668,0.06035,0.0873,0.0823,0.13355,0.2509,0.2908,0.349,0.32925,0.4796158883835578,0.5998166,0.6183631,-0.5998166,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15,0.2618,0.1617,0.05845,0.08355,0.07705,0.12645,0.24395,0.28275,0.3404,0.3121,0.4825646478100662,0.60584974,0.630854,-0.60584974,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16,0.2618,0.1617,0.05965,0.0861,0.07965,0.12645,0.24395,0.28275,0.3332,0.3121,0.4648114668686884,0.58931553,0.6141456,-0.58931553,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17,0.2618,0.1617,0.05965,0.0861,0.07965,0.12645,0.24395,0.28275,0.3332,0.3121,0.4648114668686884,0.58931553,0.6141456,-0.58931553,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18,0.2425,0.14665,0.05945,0.0843,0.0756,0.12365,0.23815,0.27985,0.3095,0.31505,0.44392569909775587,0.5718639,0.6073747,-0.5718639,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19,0.2425,0.14665,0.05945,0.0843,0.0756,0.12365,0.23815,0.27985,0.3095,0.31505,0.44392569909775587,0.5718639,0.6073747,-0.5718639,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20,0.26855,0.15725,0.06495,0.0912,0.08395,0.1289,0.25755,0.3029,0.3498,0.3396,0.4864147690919693,0.58639455,0.6129107,-0.58639455,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21,0.26855,0.15725,0.06635,0.09355,0.089,0.1289,0.25755,0.3029,0.3452,0.3396,0.4636013171436596,0.57356125,0.59005064,-0.57356125,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22,0.2554,0.14635,0.0595,0.0859,0.0802,0.11955,0.2464,0.2909,0.3408,0.32765,0.47355985508532594,0.5973752,0.61900234,-0.5973752,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23,0.2554,0.14635,0.0572,0.0824,0.0737,0.11955,0.2464,0.2909,0.3352,0.32765,0.48483388054081733,0.60536397,0.63952065,-0.60536397,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24,0.2529,0.1453,0.05925,0.0876,0.0803,0.1256,0.243,0.28695,0.3258,0.31485,0.45021914146841435,0.5761974,0.6045309,-0.5761974,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25,0.2529,0.1453,0.058,0.0808,0.07795,0.1256,0.243,0.28695,0.3014,0.31485,0.4187279836910865,0.57718474,0.5890339,-0.57718474,1200,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.193,0.10455,0.0436,0.0622,0.04655,0.10495,0.23695,0.2761,0.2687,0.3082,0.4548525947618897,0.6240556,0.70467883,-0.6240556,1201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,0.193,0.10455,0.0456,0.0662,0.0499,0.10495,0.23695,0.2761,0.3027,0.3082,0.5015475231633213,0.64109516,0.7169597,-0.64109516,1201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,0.1866,0.1065,0.04725,0.06895,0.05325,0.10545,0.231,0.2672,0.2785,0.29655,0.4528093097530652,0.60310835,0.6789751,-0.60310835,1201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,0.193,0.10455,0.04455,0.0611,0.04705,0.10495,0.23695,0.2761,0.2574,0.3082,0.43620265989762186,0.6163266,0.6909181,-0.6163266,1201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,0.193,0.10455,0.0457,0.0645,0.04955,0.10495,0.23695,0.2761,0.2721,0.3082,0.453572735419849,0.6167558,0.69190115,-0.6167558,1201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,0.1866,0.1065,0.0483,0.0693,0.0558,0.10545,0.231,0.2672,0.2817,0.29655,0.4502690726697472,0.60512817,0.66933334,-0.60512817,1201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,0.1866,0.1065,0.0459,0.0647,0.05305,0.10545,0.231,0.2672,0.2609,0.29655,0.4207660024268006,0.60257983,0.6620481,-0.60257983,1201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,0.16535,0.0895,0.0428,0.05805,0.0456,0.09255,0.2043,0.24465,0.2064,0.2722,0.34685074741392935,0.5609756,0.63809526,-0.5609756,1201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,0.2047,0.11135,0.0452,0.06835,0.0541,0.1075,0.24215,0.283,0.2871,0.3128,0.45768836511715305,0.61541706,0.6828839,-0.61541706,1201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,0.2047,0.11135,0.0437,0.06675,0.0525,0.1075,0.24215,0.283,0.3019,0.3128,0.4836520201929373,0.6378679,0.7037246,-0.6378679,1201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,0.20435,0.1145,0.0455,0.066,0.05455,0.1121,0.24335,0.27935,0.279,0.31915,0.44355956543494696,0.61739135,0.6729126,-0.61739135,1201,"{""type"":""MultiPoint"",""coordinates"":[]}"
