system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NDVI,NDWI,poly_id,.geo
0_0,0.2056,0.11,0.044533335,0.061542857,0.045366667,0.10298,0.2481,0.3005,0.3021,0.3245,0.5174823356948515,0.6615203,0.7388718,-0.6615203,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.2372,0.1315,0.05,0.0738,0.05905,0.124325,0.2593,0.2984,0.3208,0.3351,0.5033266740438647,0.62595034,0.6890878,-0.62595034,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,0.2056,0.11,0.040457144,0.055683333,0.037933335,0.10298,0.2481,0.3005,0.2627,0.3245,0.4734435709762106,0.650212,0.7476438,-0.650212,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.2056,0.11,0.0417,0.06348571,0.04413333,0.10298,0.2481,0.3005,0.3144,0.3245,0.5335123052325143,0.66399515,0.75381184,-0.66399515,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.2372,0.1315,0.047966667,0.0735,0.05495,0.124325,0.2593,0.2984,0.3116,0.3351,0.5006632632978657,0.61828095,0.7001773,-0.61828095,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.200425,0.1155,0.0458625,0.06515,0.051633332,0.110042855,0.22356667,0.2674,0.2872,0.2874,0.469993610037795,0.6301972,0.69522876,-0.6301972,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,0.1948,0.102,0.04192857,0.059677776,0.0416,0.0986,0.2326,0.28,0.2768,0.3178,0.485174257366375,0.6452795,0.7386935,-0.6452795,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,0.1948,0.102,0.0439,0.06331429,0.045875,0.0986,0.2326,0.28,0.3053,0.3178,0.5183109503339891,0.65647405,0.73873425,-0.65647405,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,0.22766666,0.1276,0.04805,0.07156154,0.0582,0.122155555,0.23765,0.2847,0.3013,0.3174,0.471078363302989,0.61614954,0.67621696,-0.61614954,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,0.200425,0.1155,0.0455,0.063533336,0.047875,0.110042855,0.22356667,0.2674,0.2444,0.2874,0.4127289099016739,0.58735657,0.67239755,-0.58735657,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,0.200425,0.1155,0.0455,0.063533336,0.047875,0.110042855,0.22356667,0.2674,0.2444,0.2874,0.4127289099016739,0.58735657,0.67239755,-0.58735657,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,0.18818,0.10225,0.041883335,0.0613,0.04615,0.09645556,0.2316,0.2821,0.2596,0.3126,0.43654773480864023,0.61794955,0.6981194,-0.61794955,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,0.1948,0.102,0.043625,0.06145,0.045666665,0.0986,0.2326,0.28,0.2888,0.3178,0.4919287792773794,0.64910775,0.7269285,-0.64910775,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,0.1948,0.102,0.04401,0.063,0.049583334,0.0986,0.2326,0.28,0.2906,0.3178,0.47895841385387183,0.64366513,0.7084905,-0.64366513,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14,0.22766666,0.1276,0.04855,0.06746667,0.057466667,0.122155555,0.23765,0.2847,0.27646667,0.3174,0.4355117719604201,0.6076759,0.65581954,-0.6076759,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15,0.223,0.1243,0.051728573,0.073075,0.0601,0.123844445,0.2398,0.28395,0.2665,0.31136668,0.41641927377676907,0.5696091,0.6319657,-0.5696091,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16,0.20226666,0.112125,0.0475,0.06723333,0.053966668,0.11253333,0.2212,0.25925,0.2576,0.2918,0.41552736153085684,0.58604413,0.6535787,-0.58604413,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17,0.20226666,0.112125,0.0455,0.063125,0.0515875,0.11253333,0.2212,0.25925,0.2742,0.2918,0.4479214736777421,0.6257318,0.68330586,-0.6257318,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18,0.2099,0.1145,0.0458,0.06356,0.0517,0.11418334,0.22936,0.27316666,0.2592,0.30215,0.4231585094518841,0.606147,0.66741717,-0.606147,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19,0.2099,0.1145,0.050225,0.069466665,0.0592,0.11418334,0.22936,0.27316666,0.26026666,0.30215,0.4057758413340048,0.5786494,0.6293823,-0.5786494,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.18052857,0.0898875,0.04395,0.061966665,0.044016667,0.096766666,0.23832,0.2902,0.28793332,0.3188,0.49884446847392017,0.6458036,0.7347994,-0.6458036,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,0.19902857,0.10295,0.044066668,0.06385,0.04625,0.10545,0.2616,0.3162,0.3087,0.3456,0.5225173136850499,0.6572272,0.7393999,-0.6572272,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,0.18052857,0.0898875,0.04125,0.05936,0.03954,0.096766666,0.23832,0.2902,0.3025,0.3188,0.534313007791984,0.6719173,0.76879895,-0.6719173,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,0.19902857,0.10295,0.04274,0.059308335,0.04055,0.10545,0.2616,0.3162,0.3267,0.3456,0.5725519162889879,0.69270957,0.7791695,-0.69270957,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,0.19902857,0.10295,0.04204286,0.06246875,0.04193333,0.10545,0.2616,0.3162,0.3322,0.3456,0.5720764093021177,0.68343705,0.7758375,-0.68343705,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,0.21588889,0.11425,0.049933333,0.07405833,0.05585,0.11705,0.269,0.32506666,0.3348,0.35485,0.5383472385554557,0.6377311,0.7140663,-0.6377311,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,0.1823125,0.08866,0.04208,0.06293333,0.0431875,0.102542855,0.25875,0.304525,0.29015,0.3341,0.5004610038323648,0.64352137,0.7408782,-0.64352137,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,0.1823125,0.08866,0.04196,0.05925,0.03896786,0.102542855,0.25875,0.304525,0.29283333,0.3341,0.5236756146940215,0.66343194,0.7651132,-0.66343194,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,0.1927,0.0939,0.0422,0.060354464,0.0389375,0.1017,0.265,0.318725,0.3192,0.35346666,0.5667249746312957,0.6819721,0.7825556,-0.6819721,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,0.1927,0.0939,0.04238,0.0626125,0.041116666,0.1017,0.265,0.318725,0.3304,0.35346666,0.5743167154423809,0.68137145,0.77865505,-0.68137145,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,0.2117,0.1103,0.049733333,0.0749,0.058,0.11406,0.27161667,0.32585,0.34293333,0.3613,0.5404926882376806,0.64148384,0.7106751,-0.64148384,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,0.189475,0.0993125,0.048,0.07165714,0.0539,0.10928,0.23615,0.275725,0.3112,0.31,0.5046681225617247,0.6256716,0.70473844,-0.6256716,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,0.1823125,0.08866,0.043875,0.06954,0.044033334,0.102542855,0.25875,0.304525,0.33793333,0.3341,0.5771477765934667,0.65867704,0.76943886,-0.65867704,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,0.1823125,0.08866,0.043223213,0.063325,0.039766666,0.102542855,0.25875,0.304525,0.3169,0.3341,0.5626726190266661,0.6669077,0.77700937,-0.6669077,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,0.1927,0.0939,0.041814286,0.063285716,0.03973333,0.1017,0.265,0.318725,0.3296,0.35346666,0.5777031391272014,0.6778416,0.78483754,-0.6778416,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,0.1927,0.0939,0.040416665,0.06181,0.04045,0.1017,0.265,0.318725,0.32293335,0.35346666,0.5593692636902516,0.6786949,0.7773701,-0.6786949,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,0.1927,0.0939,0.040416665,0.06181,0.04045,0.1017,0.265,0.318725,0.32293335,0.35346666,0.5593692636902516,0.6786949,0.7773701,-0.6786949,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,0.19675,0.10435,0.04986,0.06915,0.0614125,0.11008571,0.2389,0.28055,0.2785,0.31,0.4263221389922144,0.6021861,0.63865703,-0.6021861,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,0.19675,0.10435,0.04608,0.06755,0.0479,0.11008571,0.2389,0.28055,0.3236,0.31,0.5446894253488215,0.6546082,0.7421265,-0.6546082,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,0.18894,0.08896667,0.044846665,0.06964286,0.043225,0.10644,0.27175,0.3223,0.35153332,0.3587,0.6047474617461825,0.66929346,0.78100526,-0.66929346,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,0.18894,0.08896667,0.04283125,0.06496,0.04085,0.10644,0.27175,0.3223,0.3387,0.3587,0.589771323528212,0.67814493,0.7847451,-0.67814493,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,0.19588333,0.09272,0.0441,0.06756364,0.041977778,0.10627778,0.27495,0.3304,0.34706667,0.36233333,0.6014290004296683,0.67410177,0.7842006,-0.67410177,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_22,0.19588333,0.09272,0.0418,0.06152,0.040075,0.10627778,0.27495,0.3304,0.3196,0.36233333,0.5605972242126747,0.67716205,0.7771599,-0.67716205,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_23,0.19588333,0.09272,0.0418,0.06152,0.040075,0.10627778,0.27495,0.3304,0.3196,0.36233333,0.5605972242126747,0.67716205,0.7771599,-0.67716205,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_24,0.19675,0.10435,0.04304,0.059475,0.0439,0.11008571,0.2389,0.28055,0.2766,0.31,0.4779411736575912,0.6460611,0.72605306,-0.6460611,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_25,0.18894,0.08896667,0.0423,0.063525,0.04384,0.10644,0.27175,0.3223,0.3292,0.3587,0.5595338088937011,0.6764912,0.7649582,-0.6764912,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_26,0.18894,0.08896667,0.043135416,0.0645775,0.04191667,0.10644,0.27175,0.3223,0.33666667,0.3587,0.5826706136633739,0.6781137,0.7785604,-0.6781137,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_27,0.19588333,0.09272,0.04386,0.06565,0.0418,0.10627778,0.27495,0.3304,0.3458,0.36233333,0.5995345901267284,0.68088466,0.78431374,-0.68088466,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_28,0.19588333,0.09272,0.043185715,0.06632125,0.0438,0.10627778,0.27495,0.3304,0.34466666,0.36233333,0.5859940806813784,0.6772594,0.77449805,-0.6772594,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_29,0.19588333,0.09272,0.043185715,0.06632125,0.0438,0.10627778,0.27495,0.3304,0.34466666,0.36233333,0.5859940806813784,0.6772594,0.77449805,-0.6772594,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_30,0.1996,0.1083,0.04465,0.0616,0.045666665,0.11218,0.232525,0.27576667,0.2758,0.30395,0.47355459864944244,0.63485473,0.7158855,-0.63485473,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_31,0.1771,0.084025,0.043855555,0.06234375,0.0414,0.09704286,0.24925,0.29903334,0.32306665,0.3242,0.5667109045455536,0.67648125,0.77281874,-0.67648125,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_32,0.1771,0.084025,0.04224286,0.061675,0.040266667,0.09704286,0.24925,0.29903334,0.32448,0.3242,0.5687640259256899,0.6805687,0.77920747,-0.6805687,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_33,0.1849,0.08725,0.04204,0.0598,0.040083334,0.09757381,0.25915,0.3132,0.31744,0.34686667,0.5579988383410157,0.68296045,0.7757722,-0.68296045,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_34,0.1849,0.08725,0.043075,0.0626,0.041267857,0.09757381,0.25915,0.3132,0.34426665,0.34686667,0.597013116855495,0.69228244,0.7859187,-0.69228244,401,"{""type"":""MultiPoint"",""coordinates"":[]}"
