system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NDVI,NDWI,poly_id,.geo
0_0,0.18145,0.0954,0.037555557,0.056333333,0.041166667,0.09531429,0.21293333,0.25066668,0.25466666,0.28335,0.4374999846369942,0.63772774,0.7216901,-0.63772774,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.17113334,0.08745,0.03637857,0.05655714,0.0411375,0.091192305,0.21692857,0.25156668,0.26005,0.2844,0.4434889750675261,0.6427298,0.72683126,-0.6427298,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,0.2008,0.113,0.04475,0.06351111,0.04922,0.10412308,0.21644,0.2647,0.2589,0.2832,0.43016751211708326,0.606024,0.6805141,-0.606024,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.2008,0.113,0.044681817,0.067575,0.052507143,0.10412308,0.21644,0.2647,0.2729,0.2832,0.43979027419917627,0.6030545,0.6772834,-0.6030545,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.19056667,0.10018,0.04072222,0.060570586,0.052653845,0.103963636,0.2218,0.26085,0.25626665,0.28596666,0.4018336302208938,0.61765486,0.6591107,-0.61765486,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.19056667,0.10018,0.040925,0.06055,0.048866667,0.103963636,0.2218,0.26085,0.2651,0.28596666,0.4319957939217984,0.62812835,0.6887143,-0.62812835,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,0.2008,0.113,0.04937143,0.06846,0.05705,0.10412308,0.21644,0.2647,0.26376668,0.2832,0.4181903611485221,0.58787173,0.64434516,-0.58787173,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,0.2008,0.113,0.048633333,0.0721,0.05690833,0.10412308,0.21644,0.2647,0.303075,0.2832,0.48087878411354545,0.615646,0.68382794,-0.615646,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,0.19056667,0.10018,0.040888235,0.06451,0.05592308,0.103963636,0.2218,0.26085,0.2871,0.28596666,0.43917363824442146,0.6330593,0.6739398,-0.6330593,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,0.19056667,0.10018,0.041193333,0.06025,0.049475,0.103963636,0.2218,0.26085,0.2666,0.28596666,0.43269232946418906,0.63132936,0.6869414,-0.63132936,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,0.19585,0.109,0.044514287,0.0644,0.049683332,0.102425,0.21333334,0.25485,0.2491,0.2847,0.4108827708731214,0.5891547,0.66742903,-0.5891547,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,0.19585,0.109,0.045066666,0.06046154,0.048122223,0.102425,0.21333334,0.25485,0.25935,0.2847,0.43639096963106083,0.6218927,0.6869817,-0.6218927,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,0.1959,0.1043,0.0444,0.0645619,0.05287143,0.10733333,0.22415,0.26093334,0.27096668,0.28815,0.4343851072754254,0.615163,0.67347,-0.615163,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,0.1959,0.1043,0.04474,0.064722225,0.0522125,0.10733333,0.22415,0.26093334,0.2696,0.28815,0.4357074212372777,0.6128153,0.6755098,-0.6128153,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14,0.19585,0.109,0.04495,0.06057,0.04942857,0.102425,0.21333334,0.25485,0.2398,0.2847,0.3968563740074751,0.5966974,0.6582041,-0.5966974,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15,0.19585,0.109,0.040344443,0.06,0.044564284,0.102425,0.21333334,0.25485,0.25145715,0.2847,0.4252646413607228,0.61471426,0.6989118,-0.61471426,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16,0.1959,0.1043,0.04496154,0.064625,0.04854,0.10733333,0.22415,0.26093334,0.2845,0.28815,0.47629103709423015,0.62978876,0.7085035,-0.62978876,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17,0.1959,0.1043,0.0412875,0.06441111,0.047875,0.10733333,0.22415,0.26093334,0.27606666,0.28815,0.4550507916974084,0.62164277,0.7044221,-0.62164277,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18,0.19215,0.104383335,0.0403,0.06377143,0.04487,0.09917143,0.21604,0.2571,0.27823332,0.28454,0.46852452888826807,0.6270729,0.722256,-0.6270729,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19,0.18183333,0.10123333,0.04091,0.060615383,0.045366667,0.09606667,0.22143333,0.2699,0.28445,0.29455,0.47823361353361793,0.64867306,0.7248977,-0.64867306,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20,0.18183333,0.10123333,0.04045,0.060933333,0.04464,0.09606667,0.22143333,0.2699,0.27443334,0.29455,0.4637049978117762,0.63661665,0.72018975,-0.63661665,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21,0.18856667,0.10421429,0.045257144,0.0648,0.05256,0.10374,0.22146666,0.25536,0.26655,0.2916,0.4305698189332851,0.6088728,0.6705838,-0.6088728,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22,0.18183333,0.10123333,0.037583333,0.052425,0.04029091,0.09606667,0.22143333,0.2699,0.2611,0.29455,0.45211798684952004,0.6655769,0.73263353,-0.6655769,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23,0.18183333,0.10123333,0.0410375,0.06056,0.045042858,0.09606667,0.22143333,0.2699,0.2767,0.29455,0.46736128248488096,0.6408705,0.7200071,-0.6408705,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24,0.18856667,0.10421429,0.045657143,0.06421818,0.052277777,0.10374,0.22146666,0.25536,0.2682,0.2916,0.4355244373033921,0.6136302,0.673751,-0.6136302,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25,0.1723,0.08826666,0.03677778,0.05286923,0.041433334,0.09168571,0.2159,0.26705,0.267,0.290225,0.4548570801918042,0.6694322,0.73133034,-0.6694322,3200,"{""type"":""MultiPoint"",""coordinates"":[]}"
