system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NDVI,NDWI,poly_id,.geo
0_0,0.2642,0.17405,0.0585,0.08295,0.0834,0.13935,0.20035,0.2262,0.23025,0.25375,0.28417446050543993,0.4703065,0.46819702,-0.4703065,19400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.2642,0.17405,0.0633,0.08585,0.09015,0.13935,0.20035,0.2262,0.2287,0.25375,0.26750202433284764,0.45414084,0.43453035,-0.45414084,19400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,0.2642,0.17405,0.0633,0.08585,0.09015,0.13935,0.20035,0.2262,0.2287,0.25375,0.26750202433284764,0.45414084,0.43453035,-0.45414084,19400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.2642,0.17405,0.06305,0.0859,0.0962,0.13935,0.20035,0.2262,0.2327,0.25375,0.2552308507299655,0.46076587,0.41501978,-0.46076587,19400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.27725,0.18035,0.0646,0.0881,0.09405,0.14305,0.19675,0.22615,0.23745,0.25935,0.2721579156564583,0.4587621,0.4325792,-0.4587621,19400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.27725,0.18035,0.0646,0.0881,0.09405,0.14305,0.19675,0.22615,0.23745,0.25935,0.2721579156564583,0.4587621,0.4325792,-0.4587621,19400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,0.27725,0.18035,0.0651,0.089,0.09875,0.14305,0.19675,0.22615,0.2314,0.25935,0.24828733849640272,0.44444445,0.40178704,-0.44444445,19400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,0.27725,0.18035,0.0646,0.0881,0.09405,0.14305,0.19675,0.22615,0.23745,0.25935,0.2721579156564583,0.4587621,0.4325792,-0.4587621,19400,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,0.27725,0.18035,0.05935,0.0834,0.08485,0.14305,0.19675,0.22615,0.2445,0.25935,0.30503066267174295,0.4913083,0.48474267,-0.4913083,19400,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.2241,0.1275,0.0453,0.0684,0.0509,0.1173,0.2455,0.2882,0.2687,0.3178,0.44112285816521496,0.5941857,0.68147683,-0.5941857,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,0.1909,0.0989,0.043,0.0652,0.0499,0.1015,0.2403,0.2838,0.2845,0.3044,0.46495958136029447,0.62710893,0.701555,-0.62710893,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,0.1909,0.0989,0.0425,0.0629,0.0474,0.1015,0.2403,0.2838,0.2758,0.3044,0.4599460090819634,0.62857985,0.70668316,-0.62857985,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,0.1862,0.0963,0.0436,0.0639,0.0482,0.1018,0.2296,0.2647,0.2702,0.2974,0.4503408227980655,0.6174798,0.6972362,-0.6174798,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,0.1862,0.0963,0.0429,0.064,0.0486,0.1018,0.2296,0.2647,0.2646,0.2974,0.43744179215079904,0.6104686,0.6896552,-0.6104686,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,0.1897,0.0987,0.0446,0.0645,0.0481,0.1036,0.2334,0.2759,0.2814,0.3016,0.4720760778637175,0.6270599,0.7080425,-0.6270599,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,0.1897,0.0987,0.0436,0.0642,0.0473,0.1036,0.2334,0.2759,0.2746,0.3016,0.4614666243499018,0.62101537,0.7061199,-0.62101537,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,0.2156,0.1243,0.0431,0.0641,0.0478,0.1163,0.2366,0.2764,0.285,0.2962,0.4749509324175861,0.63277,0.71274036,-0.63277,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,0.2156,0.1243,0.0486,0.0734,0.0709,0.1163,0.2366,0.2764,0.2718,0.2962,0.3768665262147175,0.5747393,0.58622706,-0.5747393,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,0.2146,0.1216,0.0439,0.065,0.048,0.1123,0.2345,0.275,0.2779,0.3061,0.4647636963623585,0.6208807,0.7054311,-0.6208807,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,0.202,0.1079,0.0438,0.0632,0.0486,0.1063,0.2382,0.2826,0.2586,0.2995,0.4297290630073519,0.60720944,0.68359375,-0.60720944,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,0.202,0.1079,0.0439,0.062,0.0488,0.1063,0.2382,0.2826,0.2728,0.2995,0.45294617865697406,0.6296296,0.6965174,-0.6296296,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,0.2072,0.1056,0.0446,0.0647,0.0481,0.1072,0.2475,0.2928,0.2902,0.3174,0.48641806170438484,0.6353902,0.715637,-0.6353902,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,0.2072,0.1056,0.0448,0.0648,0.0478,0.1072,0.2475,0.2928,0.281,0.3174,0.4732910915819097,0.62521684,0.70924574,-0.62521684,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,0.2234,0.1229,0.0412,0.066,0.0492,0.1176,0.2491,0.2914,0.301,0.3166,0.4890459989124913,0.640327,0.7190177,-0.640327,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,0.2234,0.1229,0.0472,0.0714,0.0686,0.1176,0.2491,0.2914,0.2808,0.3166,0.39636882949282504,0.5945486,0.60732687,-0.5945486,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,0.202,0.1079,0.0452,0.0657,0.0535,0.1063,0.2382,0.2826,0.2512,0.2995,0.40078655735803226,0.58535814,0.6488349,-0.58535814,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,0.202,0.1079,0.0438,0.0654,0.05,0.1063,0.2382,0.2826,0.2779,0.2995,0.45601890314964655,0.61899215,0.69502896,-0.61899215,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,0.2072,0.1056,0.044,0.0679,0.0512,0.1072,0.2475,0.2928,0.2968,0.3174,0.4819466098872376,0.6276391,0.7057471,-0.6276391,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,0.2072,0.1056,0.0444,0.0666,0.0519,0.1072,0.2475,0.2928,0.2999,0.3174,0.48501915872535245,0.63656205,0.704946,-0.63656205,19401,"{""type"":""MultiPoint"",""coordinates"":[]}"
