system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NDVI,NDWI,poly_id,.geo
0_0,0.1854,0.1082,0.0652,0.0856,0.0928,0.1269,0.181,0.2037,0.211,0.23,0.23107600566467862,0.4227916,0.38907176,-0.4227916,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.1854,0.1082,0.0642,0.086,0.094,0.1269,0.181,0.2037,0.2146,0.23,0.23244160319470974,0.42781103,0.39079717,-0.42781103,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,0.1854,0.1082,0.0642,0.086,0.094,0.1269,0.181,0.2037,0.2146,0.23,0.23244160319470974,0.42781103,0.39079717,-0.42781103,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.2035,0.1242,0.0672,0.0849,0.0932,0.1267,0.1814,0.2061,0.2116,0.2318,0.23365962725706663,0.42731872,0.38845146,-0.42731872,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.1948,0.1218,0.067,0.0845,0.0952,0.1278,0.1769,0.2021,0.2128,0.2289,0.22941863878177035,0.43155062,0.38181818,-0.43155062,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.1948,0.1218,0.067,0.0845,0.0952,0.1278,0.1769,0.2021,0.2128,0.2289,0.22941863878177035,0.43155062,0.38181818,-0.43155062,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,0.1948,0.1218,0.0656,0.0827,0.0932,0.1278,0.1769,0.2021,0.2162,0.2289,0.23959793870634125,0.44663766,0.39754364,-0.44663766,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,0.2012,0.1214,0.0596,0.0767,0.0866,0.1246,0.1826,0.2076,0.2026,0.2312,0.22741531612416407,0.45076978,0.4011065,-0.45076978,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,0.2035,0.1242,0.0648,0.0816,0.0912,0.1267,0.1814,0.2061,0.2072,0.2318,0.22863450785445183,0.43490306,0.38873994,-0.43490306,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,0.2035,0.1242,0.0661,0.08,0.094,0.1267,0.1814,0.2061,0.2094,0.2318,0.22580519747010197,0.447132,0.38035598,-0.447132,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,0.1948,0.1218,0.0674,0.0856,0.096,0.1278,0.1769,0.2021,0.2136,0.2289,0.22895412086953212,0.42780745,0.37984493,-0.42780745,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,0.1948,0.1218,0.0674,0.0856,0.096,0.1278,0.1769,0.2021,0.2136,0.2289,0.22895412086953212,0.42780745,0.37984493,-0.42780745,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,0.1992,0.1196,0.0682,0.0878,0.0968,0.1189,0.1937,0.2205,0.2194,0.2493,0.2378365868214516,0.4283854,0.3877293,-0.4283854,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,0.1992,0.1196,0.0648,0.0838,0.0906,0.1189,0.1937,0.2205,0.223,0.2493,0.2584726057679555,0.45371577,0.42219388,-0.45371577,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14,0.2051,0.1174,0.0641,0.087,0.0906,0.1182,0.2051,0.2403,0.2418,0.2741,0.2897328698609469,0.47080293,0.45487365,-0.47080293,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15,0.2051,0.1174,0.0599,0.0844,0.0886,0.1182,0.2051,0.2403,0.245,0.2741,0.2945718932691584,0.48755315,0.46882492,-0.48755315,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16,0.2088,0.1277,0.0618,0.0844,0.0932,0.1239,0.2014,0.2428,0.2408,0.2694,0.27609426964677464,0.4809348,0.44191617,-0.4809348,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17,0.2088,0.1277,0.0618,0.0844,0.0932,0.1239,0.2014,0.2428,0.2408,0.2694,0.27609426964677464,0.4809348,0.44191617,-0.4809348,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18,0.1992,0.1196,0.0603,0.0822,0.0778,0.1189,0.1937,0.2205,0.2476,0.2493,0.3363308773728847,0.5015161,0.5218193,-0.5015161,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19,0.1992,0.1196,0.0518,0.0727,0.0654,0.1189,0.1937,0.2205,0.2556,0.2493,0.3775307900240143,0.5571124,0.5925234,-0.5571124,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20,0.2051,0.1174,0.0516,0.0759,0.0628,0.1182,0.2051,0.2403,0.2886,0.2741,0.4415675949671269,0.58353907,0.6425726,-0.58353907,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21,0.2051,0.1174,0.051,0.0752,0.0601,0.1182,0.2051,0.2403,0.301,0.2741,0.47083886547142406,0.60021263,0.6671282,-0.60021263,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22,0.2088,0.1277,0.0548,0.079,0.0677,0.1239,0.2014,0.2428,0.2944,0.2694,0.4394773733728552,0.57686126,0.62607014,-0.57686126,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23,0.2088,0.1277,0.0548,0.079,0.0677,0.1239,0.2014,0.2428,0.2944,0.2694,0.4394773733728552,0.57686126,0.62607014,-0.57686126,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24,0.2088,0.1277,0.0624,0.0816,0.0884,0.1239,0.2014,0.2428,0.253,0.2694,0.31283258460964364,0.5122534,0.48213238,-0.5122534,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25,0.2138,0.1206,0.0439,0.0646,0.046,0.109,0.2252,0.2808,0.303,0.3023,0.5141028306249306,0.648531,0.7363897,-0.648531,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26,0.2138,0.1206,0.056,0.0825,0.0691,0.109,0.2252,0.2808,0.2922,0.3023,0.4334395429975469,0.5596477,0.6174924,-0.5596477,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27,0.2343,0.1431,0.0648,0.0839,0.0918,0.1358,0.2044,0.2356,0.2448,0.2728,0.2920739312550512,0.48950413,0.45454547,-0.48950413,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28,0.2343,0.1431,0.07,0.0889,0.1086,0.1358,0.2044,0.2356,0.2258,0.2728,0.21665187160237523,0.43501747,0.35047847,-0.43501747,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29,0.2263,0.1405,0.0616,0.0787,0.0966,0.1303,0.1841,0.2072,0.2084,0.2332,0.21078429664862663,0.45175898,0.36655736,-0.45175898,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_30,0.2263,0.1405,0.0539,0.071,0.0796,0.1303,0.1841,0.2072,0.2152,0.2332,0.26308643011008265,0.5038435,0.4599729,-0.5038435,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31,0.2138,0.1206,0.0486,0.0702,0.0538,0.109,0.2252,0.2808,0.2974,0.3023,0.4849884397407919,0.6180631,0.6936219,-0.6180631,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32,0.2343,0.1431,0.0626,0.0838,0.0854,0.1358,0.2044,0.2356,0.2806,0.2728,0.3687193259216823,0.5400659,0.53333336,-0.5400659,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33,0.2343,0.1431,0.064,0.0865,0.0994,0.1358,0.2044,0.2356,0.2352,0.2728,0.25118379466715424,0.4622319,0.40585774,-0.4622319,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_34,0.2263,0.1405,0.062,0.0802,0.0983,0.1303,0.1841,0.2072,0.2166,0.2332,0.22047859748415938,0.45956874,0.3756748,-0.45956874,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_35,0.2263,0.1405,0.0628,0.0758,0.0916,0.1303,0.1841,0.2072,0.2098,0.2332,0.22935424080472006,0.46918768,0.3921699,-0.46918768,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36,0.2212,0.1346,0.0558,0.075,0.0766,0.1182,0.209,0.2477,0.2342,0.2766,0.3089469118563346,0.5148771,0.5070785,-0.5148771,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_37,0.2294,0.1284,0.0554,0.0756,0.066,0.1197,0.2278,0.2728,0.3124,0.3038,0.4764483139850381,0.6103093,0.6511628,-0.6103093,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_38,0.2294,0.1284,0.0614,0.0897,0.0802,0.1197,0.2278,0.2728,0.2862,0.3038,0.39406225781043325,0.5227454,0.5622271,-0.5227454,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_39,0.2213,0.1373,0.0653,0.088,0.0958,0.1278,0.1968,0.2201,0.2374,0.2542,0.2676849827609577,0.45912722,0.42497,-0.45912722,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_40,0.2213,0.1373,0.0647,0.084,0.097,0.1278,0.1968,0.2201,0.2176,0.2542,0.22939095023363412,0.44297084,0.38334394,-0.44297084,19000,"{""type"":""MultiPoint"",""coordinates"":[]}"
