system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NDVI,NDWI,poly_id,.geo
0_0,0.2156,0.1373,0.0424,0.0662,0.057,0.1082,0.1937,0.2333,0.2746,0.2589,0.4189126707605855,0.61150235,0.65621233,-0.61150235,2600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.2156,0.1373,0.0596,0.0848,0.0858,0.1082,0.1937,0.2333,0.268,0.2589,0.3409941719077475,0.5192744,0.5149802,-0.5192744,2600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,0.2442,0.1619,0.0581,0.0844,0.0879,0.1337,0.2092,0.2426,0.2526,0.2722,0.306304661066036,0.49910983,0.48370048,-0.49910983,2600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.2048,0.1227,0.0527,0.0795,0.0764,0.0976,0.2024,0.2475,0.2852,0.2712,0.38713985221263153,0.5640252,0.57743365,-0.5640252,2600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.2528,0.1636,0.0606,0.0914,0.0919,0.1409,0.2237,0.2635,0.264,0.2964,0.31615108146754367,0.48564997,0.4835628,-0.48564997,2600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.2528,0.1636,0.06,0.0898,0.0968,0.1409,0.2237,0.2635,0.251,0.2964,0.27898391285895147,0.47300467,0.44335824,-0.47300467,2600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,0.237,0.1586,0.0563,0.0816,0.0898,0.1347,0.1887,0.2147,0.2302,0.2448,0.26062742270074485,0.47658753,0.43875,-0.47658753,2600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,0.2528,0.1636,0.052,0.0794,0.0769,0.1409,0.2237,0.2635,0.3018,0.2964,0.4094451209366454,0.58342075,0.5938738,-0.58342075,2600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,0.2528,0.1636,0.06,0.0882,0.0904,0.1409,0.2237,0.2635,0.269,0.2964,0.32797118429167205,0.506159,0.49693933,-0.506159,2600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,0.237,0.1586,0.0618,0.0872,0.0901,0.1347,0.1887,0.2147,0.2376,0.2448,0.2804822429837318,0.46305418,0.4501068,-0.46305418,2600,"{""type"":""MultiPoint"",""coordinates"":[]}"
