system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NDVI,NDWI,poly_id,.geo
0_0,0.30793333,0.23375,0.07755,0.099375,0.11846667,0.15386666,0.20195,0.2211,0.2425,0.253275,0.22606182044107595,0.41864717,0.34361437,-0.41864717,11600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.3038,0.2219,0.07366667,0.0961,0.11513333,0.15635,0.19568,0.22285,0.2388,0.25405,0.22450562243598354,0.42609733,0.3494067,-0.42609733,11600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,0.2832,0.2123,0.07505,0.0974,0.1158,0.153,0.1883,0.20836666,0.23205,0.2351,0.21307208355640422,0.4087115,0.33419576,-0.4087115,11600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.30793333,0.23375,0.0734,0.0941,0.11585,0.15386666,0.20195,0.2211,0.2322,0.253275,0.21126887257729945,0.42323017,0.33429104,-0.42323017,11600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.30793333,0.23375,0.07483333,0.0993,0.1168,0.15386666,0.20195,0.2211,0.247,0.253275,0.23475531047913312,0.4265088,0.35788894,-0.4265088,11600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.3038,0.2219,0.0738,0.0981,0.11393333,0.15635,0.19568,0.22285,0.2426,0.25405,0.23433135633957403,0.4241268,0.36088258,-0.4241268,11600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,0.30595,0.23135,0.07176667,0.0955,0.111933336,0.15565,0.2044,0.228975,0.22908,0.25626665,0.214959060866695,0.41154724,0.34352517,-0.41154724,11600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,0.30595,0.23135,0.07455,0.1002,0.11593334,0.15565,0.2044,0.228975,0.24526666,0.25626665,0.23400417146600908,0.41991508,0.3580657,-0.41991508,11600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,0.306,0.23013334,0.0776,0.102,0.1176,0.16366,0.2029,0.22605,0.24573334,0.25512,0.2339337904623659,0.41334358,0.35266054,-0.41334358,11600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,0.30595,0.23135,0.077375,0.1003,0.11486667,0.15565,0.2044,0.228975,0.236725,0.25626665,0.22639938576911503,0.40479195,0.34659052,-0.40479195,11600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,0.30595,0.23135,0.07854,0.103133336,0.118666664,0.15565,0.2044,0.228975,0.252425,0.25626665,0.24313064182236566,0.4198795,0.36044553,-0.4198795,11600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,0.306,0.23013334,0.0795,0.1071,0.12145,0.16366,0.2029,0.22605,0.2471,0.25512,0.2277010526165365,0.3952569,0.34093067,-0.3952569,11600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,0.30643332,0.23375,0.0807,0.10604,0.12535,0.16344285,0.2025,0.22505,0.2388,0.25433335,0.20468734468575142,0.38499016,0.31154746,-0.38499016,11600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,0.3061,0.2299,0.07946,0.1066,0.125,0.1647,0.2055,0.2262,0.24356364,0.25535,0.2120822872038146,0.3911418,0.3216911,-0.3911418,11600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14,0.30643332,0.23375,0.0837,0.1094,0.12833333,0.16344285,0.2025,0.22505,0.23583333,0.25433335,0.195017241536844,0.36622575,0.2951945,-0.36622575,11600,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0.17413333,0.09252,0.040333334,0.05985,0.0414,0.0957,0.2369,0.28755,0.2834,0.31755,0.4921500037283965,0.65127456,0.7450739,-0.65127456,11601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,0.17413333,0.09252,0.0384,0.0564,0.03895,0.0957,0.2369,0.28755,0.29585,0.31755,0.51729694705115,0.6797729,0.7673238,-0.6797729,11601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,0.17413333,0.09252,0.0384,0.0564,0.03895,0.0957,0.2369,0.28755,0.29585,0.31755,0.51729694705115,0.6797729,0.7673238,-0.6797729,11601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,0.1816,0.0983,0.04045,0.060233332,0.042666666,0.0938,0.2375,0.2745,0.3018,0.298,0.5164384941668371,0.6672498,0.75227404,-0.6672498,11601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,0.159375,0.0826,0.0408,0.05835,0.04145,0.08525,0.2067,0.23255,0.2548,0.2666,0.4454070826255755,0.62733513,0.72016877,-0.62733513,11601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,0.1542,0.0847,0.0398,0.0583,0.0413,0.0872,0.19823334,0.2353,0.22902,0.25314,0.39827890841539026,0.5941807,0.69443625,-0.5941807,11601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,0.1542,0.0847,0.0403,0.05935,0.044325,0.0872,0.19823334,0.2353,0.25025,0.25314,0.42408049586416446,0.61660206,0.699058,-0.61660206,11601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,0.17413333,0.09252,0.0432,0.0656,0.045275,0.0957,0.2369,0.28755,0.3066,0.31755,0.520879026366852,0.64750135,0.7426643,-0.64750135,11601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,0.17413333,0.09252,0.0432,0.0656,0.045275,0.0957,0.2369,0.28755,0.3066,0.31755,0.520879026366852,0.64750135,0.7426643,-0.64750135,11601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,0.17413333,0.09252,0.03895,0.0597,0.0408,0.0957,0.2369,0.28755,0.30645,0.31755,0.5274496256770818,0.6739041,0.7650108,-0.6739041,11601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,0.1816,0.0983,0.038766667,0.0615,0.0428,0.0938,0.2375,0.2745,0.293,0.298,0.4968031592141856,0.6530324,0.7450864,-0.6530324,11601,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0.2336,0.16075,0.073,0.0946,0.10893334,0.14085,0.182025,0.19865,0.206,0.2234,0.18494524226552272,0.37059215,0.30821335,-0.37059215,11602,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,0.2496,0.172,0.0746,0.0955,0.1094,0.14705,0.18496667,0.20615,0.21395,0.2239,0.19939352493109674,0.38277587,0.32333386,-0.38277587,11602,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,0.1823,0.1293,0.06673333,0.08905,0.097,0.131525,0.1767,0.1989,0.20143333,0.21435,0.2035049723041787,0.3868839,0.34993854,-0.3868839,11602,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,0.2115,0.14975,0.0714,0.09285,0.1064,0.1374,0.1843,0.2039,0.2082,0.2254,0.19411180902618624,0.38315892,0.3235855,-0.38315892,11602,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,0.2115,0.14975,0.0711,0.09026667,0.10585,0.1374,0.1843,0.2039,0.204,0.2254,0.1879044094392785,0.3864975,0.31676614,-0.3864975,11602,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,0.221975,0.1577,0.0696,0.0886,0.10015,0.1369,0.1763,0.1946,0.19983333,0.2154,0.19488687843364452,0.38564658,0.33229625,-0.38564658,11602,"{""type"":""MultiPoint"",""coordinates"":[]}"
