system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,GNDVI,NDVI,NDWI,poly_id,.geo
0_0,0.1645,0.0993,0.0478,0.071,0.0606,0.106,0.2008,0.2293,0.2247,0.2475,0.3335908311246052,0.51978356,0.575184,-0.51978356,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,0.1645,0.0993,0.0427,0.06,0.048,0.106,0.2008,0.2293,0.2177,0.2475,0.3578809803490804,0.567879,0.63869023,-0.567879,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,0.1765,0.1052,0.0456,0.0678,0.0507,0.1117,0.2331,0.2602,0.2553,0.2998,0.42012317449892234,0.58031565,0.66862744,-0.58031565,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,0.1765,0.1052,0.048,0.0728,0.0578,0.1117,0.2331,0.2602,0.2774,0.2998,0.4342667151196049,0.5842376,0.6551313,-0.5842376,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,0.1734,0.1063,0.0522,0.0719,0.0633,0.1031,0.1909,0.2257,0.2321,0.2485,0.34578826399868395,0.52697366,0.5714286,-0.52697366,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,0.1734,0.1063,0.0457,0.0582,0.0477,0.1031,0.1909,0.2257,0.1817,0.2485,0.29773809241750016,0.5147978,0.58413255,-0.5147978,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,0.1645,0.0993,0.052,0.0782,0.0702,0.106,0.2008,0.2293,0.2546,0.2475,0.35853162314560116,0.5300481,0.56773394,-0.5300481,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,0.1645,0.0993,0.0472,0.0704,0.0526,0.106,0.2008,0.2293,0.2316,0.2475,0.3750419106870509,0.53377485,0.62983817,-0.53377485,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,0.1765,0.1052,0.0479,0.0714,0.0568,0.1117,0.2331,0.2602,0.2816,0.2998,0.44491944004866024,0.5954674,0.6643026,-0.5954674,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,0.1765,0.1052,0.0505,0.0736,0.0583,0.1117,0.2331,0.2602,0.3101,0.2998,0.4913554122927647,0.6163669,0.6834962,-0.6163669,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,0.1734,0.1063,0.0574,0.0831,0.0714,0.1031,0.1909,0.2257,0.2914,0.2485,0.42658803974327386,0.55620825,0.6063947,-0.55620825,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,0.1734,0.1063,0.0518,0.071,0.0632,0.1031,0.1909,0.2257,0.2484,0.2485,0.37365831991721965,0.5554164,0.59435177,-0.5554164,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,0.1734,0.1063,0.0518,0.071,0.0632,0.1031,0.1909,0.2257,0.2484,0.2485,0.37365831991721965,0.5554164,0.59435177,-0.5554164,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,0.1442,0.0804,0.0396,0.0534,0.041,0.0779,0.1572,0.1861,0.1668,0.2001,0.2818605581860322,0.5149864,0.6053898,-0.5149864,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14,0.1873,0.119,0.0584,0.0842,0.0766,0.1251,0.2254,0.2449,0.254,0.2569,0.3476795389109252,0.5020698,0.5366001,-0.5020698,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15,0.1873,0.119,0.0534,0.0752,0.0631,0.1251,0.2254,0.2449,0.196,0.2569,0.2829826884468373,0.44542772,0.5129293,-0.44542772,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16,0.2021,0.1213,0.0556,0.0775,0.0618,0.1321,0.2431,0.2757,0.27,0.3058,0.4253146114231794,0.55395687,0.62748647,-0.55395687,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17,0.2021,0.1213,0.0554,0.079,0.0689,0.1321,0.2431,0.2757,0.2964,0.3058,0.43942674508609514,0.5791156,0.62277585,-0.5791156,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18,0.2263,0.1379,0.0569,0.0834,0.0756,0.1424,0.2377,0.268,0.2911,0.2981,0.40877878065709594,0.55460614,0.58767384,-0.55460614,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19,0.2263,0.1379,0.0569,0.0834,0.0756,0.1424,0.2377,0.268,0.2911,0.2981,0.40877878065709594,0.55460614,0.58767384,-0.55460614,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20,0.2263,0.1379,0.0572,0.0778,0.0728,0.1424,0.2377,0.268,0.2706,0.2981,0.3868116128230995,0.5533869,0.5760046,-0.5533869,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21,0.1836,0.1113,0.0503,0.0653,0.0572,0.1076,0.199,0.2205,0.2189,0.2384,0.3411824168820289,0.54046446,0.58565736,-0.54046446,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22,0.1836,0.1113,0.0446,0.061,0.0488,0.1076,0.199,0.2205,0.1766,0.2384,0.2815225911078968,0.48653197,0.566992,-0.48653197,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23,0.1873,0.119,0.06,0.0846,0.0749,0.1251,0.2254,0.2449,0.2564,0.2569,0.36132343295466446,0.5038123,0.5478418,-0.5038123,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_24,0.1873,0.119,0.0548,0.0756,0.0656,0.1251,0.2254,0.2449,0.2297,0.2569,0.3384063323346715,0.5047494,0.5557061,-0.5047494,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_25,0.2021,0.1213,0.0564,0.0794,0.0642,0.1321,0.2431,0.2757,0.277,0.3058,0.42930925542004483,0.5544332,0.6236811,-0.5544332,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26,0.2021,0.1213,0.0575,0.0828,0.0713,0.1321,0.2431,0.2757,0.2824,0.3058,0.412643206182977,0.54654986,0.59683347,-0.54654986,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27,0.2263,0.1379,0.0586,0.0844,0.0803,0.1424,0.2377,0.268,0.285,0.2981,0.38555713071682074,0.5430428,0.5603613,-0.5430428,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28,0.2263,0.1379,0.0586,0.0844,0.0803,0.1424,0.2377,0.268,0.285,0.2981,0.38555713071682074,0.5430428,0.5603613,-0.5430428,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29,0.2263,0.1379,0.059,0.0846,0.0822,0.1424,0.2377,0.268,0.2806,0.2981,0.3725681917426311,0.5366922,0.5468578,-0.5366922,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_30,0.1836,0.1113,0.0572,0.0827,0.076,0.1076,0.199,0.2205,0.2743,0.2384,0.38096521163997465,0.5366947,0.56608623,-0.5366947,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31,0.1836,0.1113,0.0548,0.0746,0.064,0.1076,0.199,0.2205,0.247,0.2384,0.37499997767115983,0.53606963,0.5884244,-0.53606963,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32,0.1708,0.1064,0.0522,0.071,0.0626,0.0965,0.1631,0.1817,0.2142,0.203,0.316281402880771,0.5021038,0.5476879,-0.5021038,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33,0.1972,0.1179,0.0566,0.0809,0.0706,0.128,0.2327,0.2666,0.2608,0.2887,0.37741090260877663,0.5264852,0.5739288,-0.5264852,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_34,0.1972,0.1179,0.0544,0.0796,0.0653,0.128,0.2327,0.2666,0.2729,0.2887,0.4129863596495845,0.54836875,0.61383796,-0.54836875,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_35,0.2254,0.1309,0.0558,0.0816,0.0641,0.1376,0.2363,0.2686,0.2783,0.2967,0.4303278545590367,0.5465407,0.6255841,-0.5465407,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_36,0.2254,0.1309,0.0576,0.0842,0.0763,0.1376,0.2363,0.2686,0.2769,0.2967,0.3849696557565001,0.5336472,0.5679501,-0.5336472,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_37,0.2468,0.1497,0.0584,0.0857,0.0816,0.1473,0.2378,0.2676,0.2795,0.2976,0.3716850771153904,0.53066814,0.5480476,-0.53066814,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_38,0.2468,0.1497,0.0584,0.0857,0.0816,0.1473,0.2378,0.2676,0.2795,0.2976,0.3716850771153904,0.53066814,0.5480476,-0.53066814,15600,"{""type"":""MultiPoint"",""coordinates"":[]}"
