system:index,B11,B12,B2,B3,B4,B8,EVI,NDVI,NDWI,poly_id,tea,.geo
0,0.16498936074563894,0.08816440866234168,0.039835505338237286,0.054997364300435454,0.0405991669871751,0.2517231474686556,0.4384362624120942,0.7205778228165375,-0.6382901243306739,0,1,"{""type"":""Polygon"",""coordinates"":[[[95.10791516465602,27.35561263398209],[95.10717629078832,27.352890467101084],[95.10842070993394,27.352679360281737],[95.10947068858802,27.355440415261047],[95.10921513822777,27.355495969687194],[95.10894292153966,27.355795963588367],[95.10791516465602,27.355673743850847],[95.10791516465602,27.35561263398209]]]}"
1,0.1666555835998773,0.08534036208003495,0.03902305491464211,0.05569257946016507,0.03986082135875456,0.26188735002600455,0.45848397691731096,0.7339157571692575,-0.6472744696739319,1,1,"{""type"":""Polygon"",""coordinates"":[[[95.10485165536421,27.347069626457472],[95.10495043888655,27.346308993335587],[95.1073212434223,27.346160818052095],[95.10719282484328,27.346911572821757],[95.10689647427631,27.348255028725355],[95.10575058541737,27.34936140417538],[95.10479238525083,27.350131915649502],[95.10417992741243,27.350082523888343],[95.10341929429055,27.349558971220024],[95.10300440349677,27.34931201241422],[95.10292537667893,27.348620527757955],[95.10224377037488,27.348442717417768],[95.10229316213604,27.348245150373124],[95.10336990252937,27.347612935830256],[95.10366625309634,27.34796855651062],[95.10485165536421,27.347069626457472]]]}"
2,0.16103750130057706,0.08501745513837076,0.03972851025168011,0.055883095109974565,0.040558746855159096,0.24488540122368113,0.4279128308472848,0.714254480163231,-0.6262088949489414,2,1,"{""type"":""Polygon"",""coordinates"":[[[95.10135836041253,27.352258922201948],[95.09995822768495,27.349897082146295],[95.1031969185397,27.351509356196267],[95.10404548382917,27.353899481761566],[95.10206549815375,27.353786339722973],[95.10135836041253,27.352258922201948]]]}"
3,0.16826521971599978,0.09071072422461336,0.0393466586403428,0.05530047598092459,0.042168854882816666,0.2518453993250193,0.4319984448689453,0.7115516260004696,-0.6377537430412474,3,1,"{""type"":""Polygon"",""coordinates"":[[[95.0846679902313,27.363072282984856],[95.08295722365571,27.362911244416853],[95.07655203110087,27.36527105220021],[95.07681308722523,27.361468257110534],[95.07902193942824,27.361148904984795],[95.07879258449263,27.359324268353518],[95.08687541859538,27.35682144016538],[95.08890243214127,27.361745703439134],[95.0846679902313,27.363072282984856]]]}"
4,0.16575549429503653,0.08592751457951331,0.03818808644432824,0.055433217705889055,0.03946546386510418,0.27673396265229794,0.4830549006308669,0.7487784411456104,-0.6643922665432955,4,1,"{""type"":""Polygon"",""coordinates"":[[[95.04417438010124,27.370370958926266],[95.0448772214402,27.376625935692378],[95.04758661755287,27.374458418802238],[95.04842406726041,27.375049559772275],[95.0482270202704,27.37593627122733],[95.04869500687168,27.377685063263684],[95.04857185250293,27.37977868753257],[95.04926151696797,27.381823050053946],[95.0489413156092,27.382069358791455],[95.04896594648295,27.383202378984027],[95.0472664161941,27.383251640731533],[95.04726539995323,27.384208315344313],[95.04700045949583,27.384605726030422],[95.04719916483889,27.386447062209395],[95.04791450407387,27.387904234725127],[95.04855036117165,27.38816917518254],[95.04918621826943,27.38946738342383],[95.04943791170396,27.390407922047622],[95.04949089979544,27.392050552883543],[95.0488020546062,27.39230224631808],[95.04849737308017,27.392924856392987],[95.04779528086806,27.392845374255767],[95.04711968270165,27.39273939807281],[95.04710643567878,27.392341987386697],[95.04693422438146,27.392275752272347],[95.04623213216934,27.39230224631808],[95.04613940300925,27.391361707694287],[95.04425832576167,27.391467683877252],[95.04408611446435,27.389056725714852],[95.04292037645176,27.389175948920688],[95.0419136027136,27.386910708009854],[95.04288063538314,27.38920244296643],[95.0418630888924,27.386923718853346],[95.04112820695924,27.38512974236947],[95.04052301007313,27.385194584892986],[95.04017718328105,27.38495682897343],[95.03911808873032,27.385043285671447],[95.03682698623284,27.383703206852168],[95.03609210429968,27.385691710906585],[95.03213671036534,27.384459702959823],[95.03256790256107,27.382724520078227],[95.03067351197406,27.378081929062155],[95.02965961278663,27.372452120416234],[95.03849120834019,27.366715585540057],[95.04417438010124,27.370370958926266]]]}"
5,0.18338462448562617,0.10293072166781975,0.04168825779611725,0.05914489090810159,0.047460541161696485,0.25226915408496037,0.41793165295745416,0.6830485844491181,-0.6182491090597896,5,1,"{""type"":""Polygon"",""coordinates"":[[[95.0635651273402,27.374461222743935],[95.06883369083948,27.37282057358408],[95.06913409138987,27.37321340507306],[95.07008150851036,27.373074758665183],[95.07199945048599,27.37392974484708],[95.07271579026,27.37536242439513],[95.07273889799464,27.377372797309327],[95.07123689524266,27.37746522824791],[95.07144486485448,27.378366429899106],[95.07153729579306,27.379082769673133],[95.07017393944895,27.37919830834636],[95.07019704718358,27.380538556955827],[95.06894922951271,27.381532189545602],[95.06913409138987,27.381855697830645],[95.065275099704,27.383288377378697],[95.06525199196936,27.38402782488737],[95.05940573510392,27.384489979580284],[95.05815791743305,27.38363499339838],[95.05734914672044,27.38102381938339],[95.05707185390469,27.379313847019592],[95.05792684008658,27.379175200611716],[95.05905911908424,27.379036554203843],[95.05880493400313,27.37820467575659],[95.05931330416534,27.378066029348705],[95.05922087322678,27.37753455145186],[95.06409660523705,27.376656457535304],[95.0635651273402,27.374461222743935]]]}"
6,0.14012022783937067,0.06886583536882018,0.03623527595180664,0.05351137521240019,0.03420620684650213,0.2665578932982222,0.4822301818986821,0.7701985046279136,-0.663056441466519,6,0,"{""type"":""Polygon"",""coordinates"":[[[95.1942949794461,27.321057268717396],[95.2025421230707,27.313387605609197],[95.20541147938646,27.31156493272937],[95.20732438359698,27.31127619247118],[95.2090929176784,27.311745395390737],[95.2104102951064,27.312521384834625],[95.21064489656618,27.31327932801238],[95.21044638763867,27.31349588320602],[95.21012155484821,27.313531975738293],[95.2095260280657,27.314344057714457],[95.20885831621861,27.316888581239763],[95.2089485475493,27.31835032879686],[95.20808232677473,27.319198503305294],[95.1942949794461,27.321057268717396]]]}"
7,0.1672244498977258,0.09672739232673715,0.043491519574249536,0.059085753050161526,0.045323833783310855,0.24071874177983127,0.40977460874838045,0.6815322005195202,-0.6019676879581088,7,1,"{""type"":""Polygon"",""coordinates"":[[[95.01799824388347,27.308089772868687],[95.0157131528204,27.31584409827945],[95.01428965346963,27.31629362439022],[95.0139287644628,27.31641732688221],[95.01273689000405,27.31834535909491],[95.01154501554528,27.320203281045323],[95.01016033786526,27.32071158044685],[95.0089684634065,27.321097186889393],[95.00784669921002,27.320834273405843],[95.00665482475127,27.320781690709133],[95.00637438370214,27.32116729715168],[95.00467420984185,27.321149769586107],[95.00378030399779,27.320956966364832],[95.00342975268639,27.320536304791155],[95.00344728025195,27.31973003677493],[95.00285134302257,27.319887784865063],[95.00253584684232,27.319221737373407],[95.00121880936689,27.31676383690133],[95.00628919051047,27.31499975140105],[95.00811082891362,27.31419756201251],[95.00859548500252,27.312609895514374],[95.00999931643246,27.312325786772597],[95.01030013745316,27.31189126752048],[95.00963164629604,27.311774281567985],[95.00865360048935,27.31040252184398],[95.00905227386039,27.30898224795973],[95.00979978643105,27.307885896189436],[95.01328817842743,27.307188217790156],[95.0146586181403,27.30923141881662],[95.01697590710934,27.30743738864704],[95.01799824388347,27.308089772868687]]]}"
8,0.15802270720617517,0.08732390714979053,0.040939211310578386,0.056673778416688296,0.04136422631324464,0.24332600603653065,0.4244255237254211,0.7067823494692349,-0.6183967963328786,8,1,"{""type"":""Polygon"",""coordinates"":[[[95.01896166792156,27.308115918266132],[95.01862663190649,27.307543565073683],[95.01642097814042,27.306552416862356],[95.01533211109137,27.304849317118954],[95.01522043241967,27.304109445918957],[95.0149831152423,27.302685542854803],[95.01529023158947,27.301847952817067],[95.0158765446159,27.30188983231895],[95.01566714710646,27.300982443111398],[95.01643493797438,27.30099640294536],[95.01739816651778,27.301303519292528],[95.02166987571024,27.302894940364236],[95.02154423720458,27.303858168907638],[95.02225618873668,27.304067566417068],[95.02321941728006,27.30318809687744],[95.02567634805744,27.303565012394426],[95.02577406689517,27.304611999941596],[95.02620682174799,27.304584080273674],[95.02675125527253,27.304556160605753],[95.02669541593667,27.3053518711416],[95.02698857244988,27.30550542931519],[95.02698857244988,27.30584046533028],[95.02717005029139,27.305882344832174],[95.02711421095555,27.307054970885],[95.02666749626874,27.307041011051034],[95.0267233356046,27.306650135700092],[95.02333109595176,27.305798585828395],[95.02118128152156,27.30585442516424],[95.01950610144608,27.30752960523972],[95.01952367290998,27.308027690319285],[95.01896166792156,27.308115918266132]]]}"
9,0.1719425225303846,0.09342558950291271,0.039656359673638376,0.05637791423358926,0.04231810050690364,0.25865528976649654,0.44320675689400046,0.7161941708917964,-0.638509376023752,9,1,"{""type"":""Polygon"",""coordinates"":[[[95.10875002738466,27.36011956789529],[95.11435743598976,27.359044846875292],[95.11443583240221,27.35841767557562],[95.112920168428,27.356431633126657],[95.10771987306823,27.356692954501522],[95.10913100849248,27.35559540472709],[95.11062054032921,27.354994365564913],[95.11218846857838,27.355203422664797],[95.11425290743982,27.35441945854021],[95.11472328591456,27.355151158389827],[95.11569017500157,27.356457765264146],[95.11746716035063,27.35737239007616],[95.11992358127436,27.35852220412557],[95.12084340471175,27.359574528648825],[95.12373187674534,27.359660113005376],[95.12501564209362,27.36043037221432],[95.12473514843568,27.36057780033918],[95.12436735669345,27.362621544242796],[95.12382642275611,27.363737902784436],[95.12292183903382,27.364407964800947],[95.12225177701731,27.36407293379269],[95.12071063437935,27.363838412086913],[95.12071063437935,27.364642486506728],[95.1198395537579,27.364810002010852],[95.11977254755624,27.365312548523235],[95.11739382739763,27.36554707022901],[95.11585268475967,27.36484350511168],[95.11404351731508,27.363771405885267],[95.11360797700436,27.362196760146475],[95.11139677234989,27.362565294255543],[95.10875002738466,27.36011956789529]]]}"
